Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center
SANYA WOMEN & CHILDRENS HEALTHCARE HOSPI,Information not readily available,"Sanya, Hainan, China","A hospital dedicated to providing specialized care for women and children, including maternity and pediatric services.",Information not readily available,Healthcare,No,Yes,No,Yes
SHAANIXI HOSPITAL TRADITIONAL CHINESE,Information not readily available,"Xi'an, Shaanxi, China","Specializes in traditional Chinese medicine, offering a range of holistic treatments and therapies.",Information not readily available,Traditional Chinese Medicine,Yes,No,Yes,Yes
SHAANXI PROVINCE TRADITIONAL CHINESE MED,Information not readily available,"Xi'an, Shaanxi, China",Provides comprehensive traditional Chinese medicine treatments and therapies.,Information not readily available,Traditional Chinese Medicine,Yes,No,Yes,Yes
SHANDONG KUANHEZHENG BIOLOGICAL MEDICINE,Information not readily available,"Shandong, China",Specializes in the development and production of biological medicines and therapeutics.,Information not readily available,Biotechnology,No,Yes,No,No
SHANDONG PROV HOSPITAL,Information not readily available,"Jinan, Shandong, China","A major public hospital offering a wide range of medical services, including advanced treatment and emergency care.",Information not readily available,Healthcare,Yes,No,No,Yes
SHANGHAI CHANGHAI HOSPITAL,Information not readily available,"Shanghai, China",A general hospital providing a range of medical services including inpatient and outpatient care.,Information not readily available,Healthcare,Yes,No,No,Yes
SHANGHAI CHILDRENS HOSPITAL,shchildrenshospital.org,"Shanghai, China","A leading pediatric hospital specializing in comprehensive medical care for children, including specialized treatments and research.",Information not readily available,Pediatric Healthcare,Yes,No,Yes,Yes
SHANGHAI GEN HOSPITAL,shgh.net,"Shanghai, China","A comprehensive hospital offering a wide range of medical services, including general healthcare, specialty care, and research.",Information not readily available,Healthcare,Yes,No,Yes,Yes
SHANGHAI JIADING CENT HOSPITAL,Information not readily available,"Shanghai, China","Provides medical services including emergency care, surgical procedures, and specialized treatments.",Information not readily available,Healthcare,Yes,No,No,Yes
SHANGHAI JIANYI TENGCHUANG BIOMEDICAL,Information not readily available,"Shanghai, China",Focuses on the research and development of biomedical technologies and solutions.,Information not readily available,Biotechnology,No,Yes,Yes,No
SHANGHAI LAIYI BIOMEDICAL RES & DEV CENT,Information not readily available,"Shanghai, China",Engages in the research and development of innovative biomedical products and technologies.,Information not readily available,Biomedical Research,No,Yes,Yes,No
SHANGHAI MINHANG DISTRICT CENT HOSPITAL,Information not readily available,"Shanghai, China","A general hospital serving the Minhang District, providing a range of medical services including emergency care and specialized treatments.",Information not readily available,Healthcare,Yes,No,No,Yes
SHANXI TRADITIONAL CHINESE MEDICINE RES,Information not readily available,"Taiyuan, Shanxi, China","Focuses on research and development in the field of traditional Chinese medicine, including clinical applications and therapeutic research.",Information not readily available,Traditional Chinese Medicine,Yes,No,Yes,No
SHENZHEN BAOAN PEOPLES HOSPITAL,Information not readily available,"Shenzhen, Guangdong, China","A comprehensive hospital providing a wide range of medical services, including emergency care, surgery, and specialized treatments.",Information not readily available,Healthcare,Yes,No,No,Yes
SHENZHEN CHILDRENS HOSPITAL,szch.gov.cn,"Shenzhen, Guangdong, China","Specializes in pediatric care, offering medical services, specialized treatments, and research for childrenâs health.",Information not readily available,Pediatric Healthcare,Yes,No,Yes,Yes
10X GENOMICS INC,10xgenomics.com,"Pleasanton, California, USA","Specializes in genomic sequencing technology, providing solutions for single-cell analysis and spatial genomics.",2012,"Genomics, Biotechnology",No,Yes,No,No
123IV INC,Information not readily available,Information not readily available,Information not readily available,Information not readily available,Information not readily available,No,Yes,No,No
1DROP INC,1dropinc.com,Information not readily available,Specializes in diagnostic tests and medical technology solutions.,Information not readily available,Medical Diagnostics,No,Yes,No,No
22ND RES INST CHINA ELTRN TECHN GROUP CO,Information not readily available,China,A research institute focusing on electronics technology and related applications.,Information not readily available,Electronics Technology,Yes,No,Yes,No
ALFA PROMOSYON TEKSTIL PAZARLAMA SANAYI VE TICARET ANONIM SI,Information not readily available,Turkey,Engages in the promotion and marketing of textile products.,Information not readily available,Textiles,No,Yes,No,No
ALLOY ILUMINACAO LTDA,alloyiluminacao.com.br,Brazil,Specializes in lighting solutions and related technologies.,Information not readily available,Lighting,No,Yes,No,No
ANGITEC PESQUISA SERVICOS & DESENVOLVIME,angitec.com.br,Brazil,"Focuses on research, services, and development in the field of technology and healthcare.",Information not readily available,Technology and Healthcare,No,Yes,Yes,No
API INT CENT TRADITIONAL & ALTERNATATIVE,Information not readily available,Information not readily available,Provides research and development in traditional and alternative medicine practices.,Information not readily available,Alternative Medicine,No,Yes,Yes,No
BAYERISCHE MOTOREN WERKE AG,bmw.com,"Munich, Germany","A leading manufacturer of automobiles and motorcycles, known for its innovation and technology.",1916,Automotive,No,Yes,No,No
BEIJING ACRO BIOSYSTEMS BIOTECHNOLOGY CO,acro-biosystems.com,"Beijing, China","Specializes in biosystems and biotechnology, offering products and services for research and development.",Information not readily available,Biotechnology,No,Yes,No,No
BEIJING ANNOROAD MEDICAL TESTING LAB CO,Information not readily available,"Beijing, China",Provides medical testing and diagnostic services.,Information not readily available,Medical Testing,No,Yes,No,No
BEIJING BAIZE RUICHENG PHARM TECHNOLOGY CO              LTD,Information not readily available,"Beijing, China",Focuses on pharmaceutical technology and drug development.,Information not readily available,Pharmaceuticals,No,Yes,No,No
BEIJING CENT DISEASES PREVENTION & CONTR,bjpccd.org,"Beijing, China","Works on disease prevention, control, and public health initiatives.",Information not readily available,Public Health,Yes,No,Yes,No
BEIJING FANENKEER BIOLOGICAL TECHNOLOGY CO,Information not readily available,"Beijing, China",Specializes in biological technology and research for health applications.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING FENGTAI TRADITIONAL CHINESE,Information not readily available,"Beijing, China",Provides traditional Chinese medicine treatments and therapies.,Information not readily available,Traditional Chinese Medicine,Yes,No,No,Yes
BEIJING SHUZHIYUANYU ARTIFICIAL INTELLIG,Information not readily available,"Beijing, China",Focuses on artificial intelligence technologies and applications.,Information not readily available,Artificial Intelligence,No,Yes,No,No
BEIJING SONGGUO TIANMU HEALTH MANAGEMENT,Information not readily available,"Beijing, China",Provides health management services and solutions.,Information not readily available,Health Management,No,Yes,No,No
BEIJING YADI LITE AVIATION NEW MATERIAL,Information not readily available,"Beijing, China",Specializes in new materials for aviation applications.,Information not readily available,Aerospace Materials,No,Yes,No,No
BEIJING YUANXIN CARBON-BASED INTEGRATED,Information not readily available,"Beijing, China",Focuses on carbon-based technologies and materials.,Information not readily available,Carbon Technology,No,Yes,No,No
BEIJING ZHIFEI GREEN BAMBOO BIO-PHARM CO,zhifeibio.com,"Beijing, China",Specializes in bio-pharmaceuticals derived from green bamboo and other natural sources.,Information not readily available,Bio-Pharmaceuticals,No,Yes,No,No
BEIJING ZHONGWEI SHENNONG CHRONIC DISEAS,Information not readily available,"Beijing, China",Focuses on the management and treatment of chronic diseases.,Information not readily available,Healthcare,No,Yes,No,No
BEIJING ZHUOCHENG HUISHENG BIOLOGICAL,Information not readily available,"Beijing, China",Specializes in biological technology and research.,Information not readily available,Biotechnology,No,Yes,No,No
BENGBU QINGQUAN ENVIRONMENTAL PROTECTION,Information not readily available,"Bengbu, China",Engages in environmental protection and waste management technologies.,Information not readily available,Environmental Protection,No,Yes,No,No
BENHEALTH BIOPHARMACEUTICAL SHENZHEN CO,Information not readily available,"Shenzhen, China",Focuses on biopharmaceuticals and drug development.,Information not readily available,Biopharmaceuticals,No,Yes,No,No
BIANCHI MELACRINO MORELLI DI REGGIO CALA,Information not readily available,"Reggio Calabria, Italy",Specializes in various medical and pharmaceutical services.,Information not readily available,"Healthcare, Pharmaceuticals",No,Yes,No,No
CHEIL AUTOTECH CO LTD,Information not readily available,Information not readily available,Provides automotive technology solutions.,Information not readily available,Automotive Technology,No,Yes,No,No
CHEIL JEDANG CORP,cheiljedang.com,"Seoul, South Korea",A major food and biotechnology company.,1953,Food & Biotechnology,No,Yes,No,No
CHELSEA DESIGN CO LTD,Information not readily available,Information not readily available,Specializes in design and technology solutions.,Information not readily available,Design & Technology,No,Yes,No,No
CHEMAS CO LTD,Information not readily available,Information not readily available,Provides chemical and pharmaceutical solutions.,Information not readily available,Chemicals & Pharmaceuticals,No,Yes,No,No
CHEMBIO DIAGNOSTIC SYSTEMS INC,chembio.com,"Medford, New York, USA",Focuses on diagnostic testing and immunoassay technology.,1985,Medical Diagnostics,No,Yes,No,No
CHEMCLIN DIAGNOSTICS CORP,Information not readily available,Information not readily available,Specializes in diagnostic reagents and related products.,Information not readily available,Diagnostics,No,Yes,No,No
CHEMGENES CORP,chemgenes.com,"Woburn, Massachusetts, USA",Provides custom oligonucleotides and related products for research.,Information not readily available,Biotechnology,No,Yes,No,No
CHEMITERAS INC,Information not readily available,Information not readily available,Engages in the development of chemical and pharmaceutical technologies.,Information not readily available,Chemicals & Pharmaceuticals,No,Yes,No,No
CHEMO RES SL,Information not readily available,Information not readily available,Specializes in research and development of chemotherapeutic agents.,Information not readily available,Pharmaceuticals,No,Yes,No,No
CHEMOCENTRYX INC,chemocentryx.com,"Mountain View, California, USA",Focuses on the development of small molecule drugs for autoimmune diseases and cancer.,1997,Biotechnology,No,Yes,No,No
CHEMOMAB LTD,chemomab.com,"Tel Aviv, Israel",Develops novel therapies for fibrotic diseases and cancer.,Information not readily available,Biotechnology,No,Yes,No,No
CHEMOTHERAPEUTISCHES FORSCHUNG,Information not readily available,Information not readily available,Focuses on research and development of chemotherapeutic treatments.,Information not readily available,Pharmaceuticals,No,Yes,Yes,No
CHEN YU QI,Information not readily available,Information not readily available,Information not readily available,Information not readily available,Information not readily available,No,Yes,No,No
CHENGDU AF BIOTECH CO LTD,Information not readily available,"Chengdu, China",Specializes in biotechnology research and development.,Information not readily available,Biotechnology,No,Yes,No,No
CHENGDU ANRUI HEALTH TECHNOLOGY CO LTD,Information not readily available,"Chengdu, China",Focuses on health technology and medical devices.,Information not readily available,Health Technology,No,Yes,No,No
CHENGDU AODA BIOTECHNOLOGY CO LTD,Information not readily available,"Chengdu, China",Specializes in biotechnology research and development.,Information not readily available,Biotechnology,No,Yes,No,No
CHENGDU AQI BIOPHARMA TECHNOLOGY CO LTD,Information not readily available,"Chengdu, China",Focuses on biopharmaceutical technology and development.,Information not readily available,Biopharmaceuticals,No,Yes,No,No
CHENGDU BAILI-BIO PHARM CO LTD,Information not readily available,"Chengdu, China",Engages in pharmaceutical development and manufacturing.,Information not readily available,Pharmaceuticals,No,Yes,No,No
CHENGDU BEINUO KECHENG BIOTECHNOLOGY CO,Information not readily available,"Chengdu, China",Specializes in biotechnology research and products.,Information not readily available,Biotechnology,No,Yes,No,No
CHENGDU BOAO JINGXIN BIOTECHNOLOGY CO,Information not readily available,"Chengdu, China",Focuses on biotechnology solutions and product development.,Information not readily available,Biotechnology,No,Yes,No,No
CHENGDU BOAOPAIKE TECHNOLOGY LTD,Information not readily available,"Chengdu, China",Engages in technology development and applications.,Information not readily available,Technology,No,Yes,No,No
CHENGDU BRILLIANT PHARM CO LTD,Information not readily available,"Chengdu, China",Specializes in pharmaceutical research and development.,Information not readily available,Pharmaceuticals,No,Yes,No,No
CHENGDU CHIPSCREEN PHARM LTD,chipscreen.com,"Chengdu, China",Focuses on the development and commercialization of innovative pharmaceutical products.,2001,Pharmaceuticals,No,Yes,No,No
CHENGGONG XIAMEN BIOTECHNOLOGY CO LTD,Information not readily available,"Chenggong, Xiamen, China",Specializes in biotechnology research and development.,Information not readily available,Biotechnology,No,Yes,No,No
CHI DON BIOTECHNOLOGY CO LTD,Information not readily available,Information not readily available,Focuses on biotechnology research and development.,Information not readily available,Biotechnology,No,Yes,No,No
CHIA TAI TIANQING PHARM GROUP CO LTD,cttq.com,"Beijing, China",A leading pharmaceutical company focusing on the research and development of drugs.,1995,Pharmaceuticals,No,Yes,No,No
CHICAGO CONTROLS THERMOSTATS INC,Information not readily available,"Chicago, Illinois, USA",Specializes in thermostats and temperature control systems.,Information not readily available,Controls & Thermostats,No,Yes,No,No
CHILDREN'S HEALTHCARE ATLANTA,choa.org,"Atlanta, Georgia, USA","Provides comprehensive medical care for children, including a wide range of specialties and services.",1998,Healthcare,No,No,No,Yes
CHILDREN'S MEDICAL CENT CORP,Information not readily available,Information not readily available,Focuses on pediatric healthcare and medical services.,Information not readily available,Healthcare,No,Yes,No,Yes
CHILDRENS HEALTHCARE ATLANTA,choa.org,"Atlanta, Georgia, USA",Provides pediatric medical care and has a range of specialty services.,1998,Healthcare,No,No,No,Yes
CHILDRENS SCI & CLINICAL CENT INFECTIOUS,Information not readily available,Information not readily available,Focuses on pediatric infectious diseases and clinical care.,Information not readily available,Healthcare,No,No,No,Yes
CHIMERIX INC,chimerix.com,"Durham, North Carolina, USA",Develops antiviral therapeutics for serious diseases.,2000,Biotechnology,No,Yes,No,No
CHONGQING NANPENG ARTIFICIAL INTELLIGENC,Information not readily available,"Chongqing, China",Specializes in artificial intelligence technology and applications.,Information not readily available,Artificial Intelligence,No,Yes,No,No
CN PHARM CO LTD,Information not readily available,Information not readily available,Focuses on pharmaceutical research and development.,Information not readily available,Pharmaceuticals,No,Yes,No,No
CNBG TOCELL WUXI BIOTECHNOLOGY CO LTD,cnbg.com,"Wuxi, China","Engages in biotechnology research, including cell-based therapies.",Information not readily available,Biotechnology,No,Yes,No,No
CNBG-VIROGIN BIOTECH SHANGHAI CO LTD,Information not readily available,"Shanghai, China",Specializes in the development and commercialization of innovative viral vector-based therapies.,Information not readily available,Biotechnology,No,Yes,No,No
CNOOC ENERGY DEV CO LTD OIL PRODN SERVIC,Information not readily available,China,Provides oil production and related services.,Information not readily available,Oil & Gas,No,Yes,No,No
CNPEM CENT NACIONAL PESQUISA EM ENERGIA,cnpem.br,"Campinas, Brazil",A national research center focusing on energy and materials science.,2001,Research,Yes,No,Yes,No
CNR CONSIGLIO NAZ RICERCHE,cnr.it,"Rome, Italy","Italy's largest public research organization, focusing on various scientific disciplines.",1923,Research,Yes,No,Yes,No
CNRS CENT NAT RECH SCI,cnrs.fr,"Paris, France","The National Centre for Scientific Research in France, conducting research across multiple scientific fields.",1939,Research,Yes,No,Yes,No
CNS BIOTEK CORP,Information not readily available,Information not readily available,Focuses on biotechnology and pharmaceutical products.,Information not readily available,Biotechnology,No,Yes,No,No
CO-DIAGNOSTICS INC,codx.com,"Salt Lake City, Utah, USA",Develops and commercializes molecular diagnostic technology.,2013,Biotechnology,No,Yes,No,No
COA THERAPEUTICS INC,Information not readily available,Information not readily available,Focuses on developing therapeutic solutions based on innovative scientific discoveries.,Information not readily available,Biotechnology,No,Yes,No,No
COAGULANT THERAPEUTICS CORP,Information not readily available,Information not readily available,Specializes in developing therapeutic products for blood coagulation disorders.,Information not readily available,Biotechnology,No,Yes,No,No
COAGULO MEDICAL TECHNOLOGIES INC,Information not readily available,Information not readily available,Focuses on medical technologies related to coagulation and hemostasis.,Information not readily available,Medical Technology,No,Yes,No,No
COCOMA KK,cocomma.co.jp,"Tokyo, Japan","Provides medical and healthcare solutions, including diagnostics.",Information not readily available,Medical Technology,No,Yes,No,No
COCRYSTAL PHARMA INC,cocrystalpharma.com,"Tarrytown, New York, USA",Develops novel antiviral therapies using its proprietary technology platform.,2008,Biotechnology,No,Yes,No,No
CODAGENIX INC,codagenix.com,"Farmingdale, New York, USA",Focuses on developing vaccines and therapeutics using its proprietary codon deoptimization technology.,2015,Biotechnology,No,Yes,No,No
CODE BIOLOGICAL MEDICINE TECHNOLOGY INC,Information not readily available,Information not readily available,Specializes in biological medicine and therapeutic technologies.,Information not readily available,Biotechnology,No,Yes,No,No
CODE PHARMA BV,Information not readily available,Information not readily available,Engages in pharmaceutical research and development.,Information not readily available,Pharmaceuticals,No,Yes,No,No
CODIAK BIOSCIENCES INC,codiakbio.com,"Cambridge, Massachusetts, USA",Develops exosome-based therapeutics for various diseases.,2015,Biotechnology,No,Yes,No,No
CODIKOAT LTD,Information not readily available,Information not readily available,Focuses on coating technologies for various applications.,Information not readily available,Coatings Technology,No,Yes,No,No
CODY DISCOVERY LLC,Information not readily available,Information not readily available,Specializes in discovery research and development.,Information not readily available,Biotechnology,No,Yes,No,No
COEURATIVE INC,Information not readily available,Information not readily available,Focuses on innovative therapeutic solutions.,Information not readily available,Biotechnology,No,Yes,No,No
COFCO NUTRITION & HEALTH RES INST CO LTD,Information not readily available,Information not readily available,Specializes in nutrition and health research.,Information not readily available,Research,No,Yes,Yes,No
COFIX-RX LLC,Information not readily available,Information not readily available,Focuses on developing and commercializing medical products.,Information not readily available,Medical Technology,No,Yes,No,No
COFOE MEDICAL TECHNOLOGY CO LTD,cofoe.com,China,Specializes in medical device development and technology.,Information not readily available,Medical Technology,No,Yes,No,No
COFOE MEDICAL TECHNOLOGY CO LTD,Information not readily available,Information not readily available,Engages in developing advanced technologies in cognitive sciences.,Information not readily available,Technology,No,Yes,No,No
COGNITIVE CLARITY INC,Information not readily available,Information not readily available,Specializes in cognitive enhancement technologies and solutions.,Information not readily available,Biotechnology,No,Yes,No,No
COHBAR INC,cohbar.com,"Menlo Park, California, USA",Develops therapies for age-related diseases using mitochondrial derived peptides.,2009,Biotechnology,No,Yes,No,No
COKEY SYSTEMS CO LTD,Information not readily available,Information not readily available,Provides advanced technology solutions in various fields.,Information not readily available,Technology,No,Yes,No,No
COLD SPRING HARBOR LAB,cshl.edu,"Cold Spring Harbor, New York, USA",A research institution specializing in molecular biology and genetics.,1890,Research,No,No,Yes,No
COLLABORATIONS PHARM INC,Information not readily available,Information not readily available,Focuses on collaborative pharmaceutical research and development.,Information not readily available,Pharmaceuticals,No,Yes,No,No
COX CO LTD,Information not readily available,Information not readily available,Specializes in technology and related services.,Information not readily available,Technology,No,Yes,No,No
CQ,Information not readily available,Information not readily available,General information not available.,Information not readily available,Information not readily available,No,Yes,No,No
CQ-S NET KK,Information not readily available,Information not readily available,Focuses on network and IT services.,Information not readily available,IT Services,No,Yes,No,No
CQV CO LTD,Information not readily available,Information not readily available,Specializes in quality assurance and validation services.,Information not readily available,Quality Assurance,No,Yes,No,No
CR LIFE SCI GROUP CO LTD,Information not readily available,Information not readily available,Focuses on life sciences research and product development.,Information not readily available,Biotechnology,No,Yes,No,No
CRAFT CO LTD,Information not readily available,Information not readily available,Engages in various technology and product development activities.,Information not readily available,Technology,No,Yes,No,No
CRANEBIO CO LTD,Information not readily available,Information not readily available,Specializes in biotechnology and life sciences research.,Information not readily available,Biotechnology,No,Yes,No,No
CRANEBIO KK,Information not readily available,Information not readily available,Focuses on biotechnology and related services.,Information not readily available,Biotechnology,No,Yes,No,No
CRAWFORD GLOBAL LTD,Information not readily available,Information not readily available,Provides global services in various industries.,Information not readily available,Services,No,Yes,No,No
CREATIVE BIOTHERAPEUTICS LLC,Information not readily available,Information not readily available,Specializes in the development of biotherapeutics.,Information not readily available,Biotechnology,No,Yes,No,No
CREATIVE MEDICAL TECHNOLOGIES INC,Information not readily available,Information not readily available,Focuses on innovative medical technology solutions.,Information not readily available,Medical Technology,No,Yes,No,No
CREATIVE THERAPEUTICS GMBH,Information not readily available,Information not readily available,Develops innovative therapeutic solutions in biotechnology.,Information not readily available,Biotechnology,No,Yes,No,No
CREC SHANGHAI ENG GROUP MUNICIPAL ENVIRO,Information not readily available,"Shanghai, China",Engages in municipal environmental engineering and construction services.,Information not readily available,Environmental Engineering,No,Yes,No,No
CRESCENTA BIOSCI,Information not readily available,Information not readily available,Focuses on biosciences and biotechnology research.,Information not readily available,Biotechnology,No,Yes,No,No
CRESTONE INC,Information not readily available,Information not readily available,Engages in various technology and scientific advancements.,Information not readily available,Technology/Science,No,Yes,No,No
CRESTOPTICS SPA,crestoptics.com,"Rome, Italy",Specializes in the development of advanced optical and imaging systems.,2004,Optical Technologies,No,Yes,No,No
CREWAY ZHUHAI PHARM TECHNOLOGY CO LTD,Information not readily available,"Zhuhai, China",Focuses on pharmaceutical technology and development.,Information not readily available,Pharmaceuticals,No,Yes,No,No
CRYSTAL GENOMICS INC,crystalgenomics.com,"Seoul, South Korea",Engages in the research and development of innovative pharmaceuticals.,2003,Biotechnology/Pharmaceuticals,No,Yes,No,No
DEVERRA THERAPEUTICS INC,deverratx.com,"Cambridge, Massachusetts, USA",Develops novel therapeutics to address serious diseases.,2020,Biotechnology,No,Yes,No,No
DONGGUAN BOSHI BIOLOGICAL TECHNOLOGY CO,Information not readily available,"Dongguan, China",Specializes in biological technology and related products.,Information not readily available,Biotechnology,No,Yes,No,No
FORMYCON AG,formycon.com,"Munich, Germany",Develops biosimilars and innovative biopharmaceuticals.,2001,Biopharmaceuticals,No,Yes,No,No
HANMI PHARM CO LTD,hanmi.co.kr,"Seoul, South Korea","A major pharmaceutical company engaged in research, development, and manufacturing of drugs.",1973,Pharmaceuticals,No,Yes,No,No
IANEG GMBH,Information not readily available,Information not readily available,Engages in the development of new technologies in various fields.,Information not readily available,Technology,No,Yes,No,No
IGNOVA GMBH,Information not readily available,Information not readily available,Specializes in innovative solutions in biotechnology.,Information not readily available,Biotechnology,No,Yes,No,No
JIANGSU AOXIN NEW ENERGY AUTOMOBILE CO L,Information not readily available,"Jiangsu, China",Focuses on the development of new energy vehicles.,Information not readily available,Automotive,No,Yes,No,No
JIAPEI MEDICAL TECHNOLOGY SHANGHAI CO LT,Information not readily available,"Shanghai, China",Specializes in medical technology and related services.,Information not readily available,Medical Technology,No,Yes,No,No
JINYAO DARENTANG GROUP CO LTD TRADITIONA,Information not readily available,Information not readily available,Focuses on traditional Chinese medicine and related products.,Information not readily available,Pharmaceuticals,No,Yes,No,No
KUNMING HUANJI BIOLOGICAL CHIP DEV CO LT,Information not readily available,"Kunming, China",Develops biological chips and related technologies.,Information not readily available,Biotechnology,No,Yes,No,No
LOCUSAFE BV,locusafe.com,Netherlands,Specializes in safety and regulatory compliance solutions for the pharmaceutical and biotechnology industries.,Information not readily available,Safety and Compliance,No,Yes,No,No
MARKET CLEAN COMERCIO E SERVICOS SANITIZACAO E HIGIENIZACAO,Information not readily available,Information not readily available,"Provides cleaning, sanitization, and hygiene services.",Information not readily available,Cleaning Services,No,Yes,No,No
MEDIC INC,Information not readily available,Information not readily available,Engages in medical product development and distribution.,Information not readily available,Medical Technology,No,Yes,No,No
MEDICAGO INC,medicago.com,"Quebec, Canada",Focuses on developing plant-based vaccines and therapeutics.,1999,Biotechnology,No,Yes,No,No
MEDICAL & BIOLOGICAL LAB CO LTD,Information not readily available,Information not readily available,Provides medical and biological laboratory services.,Information not readily available,Laboratory Services,No,Yes,No,No
MEDICAL CONSULTING GMBH,Information not readily available,Information not readily available,Offers consulting services in the medical and healthcare fields.,Information not readily available,Medical Consulting,No,Yes,No,No
MEDICAL DEVICES INC,Information not readily available,Information not readily available,Specializes in the development and manufacturing of medical devices.,Information not readily available,Medical Devices,No,Yes,No,No
MEDICAL SERVICE COMMUNITY PEOPLES HOSPITAL NINGBO FENGHUA DI,Information not readily available,"Ningbo, China",Provides medical services and healthcare at the community level.,Information not readily available,Healthcare,No,No,No,Yes
MEDICARE BIO CO LTD,Information not readily available,Information not readily available,Focuses on biotechnology and healthcare solutions.,Information not readily available,Biotechnology,No,Yes,No,No
MEDICARE PHARM INC,Information not readily available,Information not readily available,Specializes in pharmaceutical products and technologies.,Information not readily available,Pharmaceuticals,No,Yes,No,No
MEDICE ARZNEIMITTEL PUETTER GMBH & CO KG,medice.de,"Iserlohn, Germany",Develops and markets pharmaceuticals and over-the-counter products.,1946,Pharmaceuticals,No,Yes,No,No
MEDICINOVA INC,medicinova.com,"San Diego, California, USA",Focuses on developing novel therapeutics for serious diseases.,2000,Biotechnology,No,Yes,No,No
MEDICOOL TECHNOLOGIES INC,medicool.com,"Sarasota, Florida, USA",Develops and markets medical cooling and therapeutic devices.,1987,Medical Devices,No,Yes,No,No
MELIOR PHARM INC,meliorpharma.com,"New York, USA",Focuses on developing and commercializing pharmaceuticals.,Information not readily available,Pharmaceuticals,No,Yes,No,No
NANJING YUNKE ZHISHENG HEALTH TECHNOLOGY CO              LTD,Information not readily available,"Nanjing, China",Engages in health technology and related innovations.,Information not readily available,Health Technology,No,Yes,No,No
NANOMATERIALES QUIMICOS AVANZADOS SA DE,Information not readily available,Information not readily available,Specializes in advanced chemical nanomaterials.,Information not readily available,Nanotechnology/Chemicals,No,Yes,No,No
NATUREVIVE IINNOVATION PRIVATE LTD,Information not readily available,Information not readily available,Focuses on innovation and new developments in biotechnology.,Information not readily available,Biotechnology,No,Yes,No,No
OMEGA BIOTECHNOLGY LUAN CO LTD,Information not readily available,"Luan, China",Specializes in biotechnology and pharmaceutical products.,Information not readily available,Biotechnology/Pharmaceuticals,No,Yes,No,No
ORSZAGOS KORANYI PULMONOLOGIAI INTEZET,koranyi.hu,"Budapest, Hungary",Specializes in pulmonology and respiratory diseases.,Information not readily available,Medical Research/Healthcare,Yes,No,Yes,Yes
OSPEDALE PEDIATRICO BAMBINO GESU IRCCS,opbg.net,"Rome, Italy",Pediatric hospital offering specialized medical care for children.,1869,Healthcare,No,No,Yes,Yes
OWNTEC SOLUCOES EM ENGENHARIA LTDA,Information not readily available,Information not readily available,Provides engineering solutions and consulting services.,Information not readily available,Engineering Services,No,Yes,No,No
OXYJET LTD,oxyjet.com,Information not readily available,Develops and provides oxygen-based beauty and medical technologies.,Information not readily available,Medical Technology,No,Yes,No,No
OXYWARE INC,oxyware.com,Information not readily available,Focuses on oxygen therapy and related technologies.,Information not readily available,Medical Devices,No,Yes,No,No
OYAGEN INC,oyagen.com,"Durham, North Carolina, USA",Specializes in the development of antiviral therapeutics.,Information not readily available,Biotechnology,No,Yes,No,No
OYSTER POINT PHARMA INC,oysterpointpharma.com,"Pennington, New Jersey, USA",Focuses on developing treatments for ocular diseases.,2015,Pharmaceuticals,No,Yes,No,No
OYSTERSHELL NV,Information not readily available,Information not readily available,Specializes in the development of biotechnology and pharmaceuticals.,Information not readily available,Biotechnology/Pharmaceuticals,No,Yes,No,No
OZ OPTICS LTD,ozoptics.com,"Ottawa, Ontario, Canada",Designs and manufactures optical components and systems.,1985,Optics/Photonics,No,Yes,No,No
P & S GLOBAL HOLDINGS LLC,Information not readily available,Information not readily available,"Provides a range of services, including investment and management.",Information not readily available,Investment/Management,No,Yes,No,No
PACESETTER INC,Information not readily available,Information not readily available,"Specializes in medical devices, particularly in cardiac technologies.",Information not readily available,Medical Devices,No,Yes,No,No
PACESETTER INC,Information not readily available,Information not readily available,Engages in investment and financial management services.,Information not readily available,Finance/Investment,No,Yes,No,No
PACSI TUDOMANYEGYETEM,Information not readily available,Information not readily available,Likely involved in scientific research and education.,Information not readily available,Research/Education,No,No,Yes,No
PAEROSOL,Information not readily available,Information not readily available,Specializes in aerosol technology and applications.,Information not readily available,Aerosol Technology,No,Yes,No,No
PAGS CO LTD,Information not readily available,Information not readily available,Provides various industrial and technological services.,Information not readily available,Industrial Services,No,Yes,No,No
PAIGE.AI INC,paige.ai,"New York, New York, USA",Uses artificial intelligence to improve cancer diagnosis and treatment.,2018,HealthTech/AI,No,Yes,No,No
PAIMCOS PTY LTD,Information not readily available,Information not readily available,Likely involved in various business services or technology solutions.,Information not readily available,Business Services/Technology,No,Yes,No,No
PALANI LLC,Information not readily available,Information not readily available,"Engages in various business activities, potentially in technology or healthcare.",Information not readily available,General Business,No,Yes,No,No
PALMIRA BIOPHARMA LLC,Information not readily available,Information not readily available,Focuses on the development of biopharmaceutical products.,Information not readily available,Biopharmaceuticals,No,Yes,No,No
PALO ALTO RES CENT INC,Information not readily available,"Palo Alto, California, USA",Likely involved in research and development in various fields.,Information not readily available,Research & Development,No,Yes,Yes,No
PALOGEN INC,Information not readily available,Information not readily available,Likely involved in biotechnological or pharmaceutical research.,Information not readily available,Biotechnology/Pharmaceuticals,No,Yes,No,No
