Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic),4. SHANGHAI JIADING CENTRAL HOSPITAL,15. SHANGHAI TONGREN HOSPITAL,O ChatGPT disse,I TECHNOLOGY CO LTD
SHANGHAI EAST HOSPITAL,[Not Available],"Shanghai, China","A comprehensive healthcare facility offering a wide range of medical services, including diagnosis, treatment, and research in various fields of medicine.",[Not Available],Healthcare/Hospital,Yes,No,Yes,Yes,,,,
SHANGHAI ECUST BIOMEDICINE CO LTD,[Not Available],"Shanghai, China","A biomedicine company engaged in the research, development, and commercialization of biopharmaceutical products and technologies.",[Not Available],Biomedicine/Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI ENKAI CELL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company specializing in cell therapy and related technologies for the treatment of various diseases, including cancer and immune disorders.",[Not Available],Biotechnology/Cell Therapy,No,Yes,Yes,No,,,,
SHANGHAI EPIPROBE BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company focusing on the development of advanced diagnostic tools and technologies, particularly in the field of epigenetics.",[Not Available],Biotechnology/Diagnostics,No,Yes,Yes,No,,,,
SHANGHAI EUGENE BIOTECH CO LTD,[Not Available],"Shanghai, China","A biotechnology company engaged in the development and production of biotechnological products for healthcare, including vaccines and therapeutic agents.",[Not Available],Biotechnology/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI FEIYU LAB EQUIP CO LTD,[Not Available],"Shanghai, China","A company specializing in the design, manufacturing, and distribution of laboratory equipment and instruments for research and industrial applications.",[Not Available],Laboratory Equipment/Industrial Technology,No,Yes,No,No,,,,
SHANGHAI FIRST PEOPLES HOSPITAL,[Not Available],"Shanghai, China","A major hospital in Shanghai offering comprehensive medical services, including emergency care, surgery, outpatient services, and specialized medical treatments.",[Not Available],Healthcare/Hospital,Yes,No,Yes,Yes,,,,
SHANGHAI FOCUSGEN BIOTECH LTD,[Not Available],"Shanghai, China","A biotechnology company focused on the research, development, and commercialization of genetic testing and personalized medicine solutions.",[Not Available],Biotechnology/Genetics,No,Yes,Yes,No,,,,
SHANGHAI FOOD & DRUG INSPECTION RESEARCH INSTITUTE,[Not Available],"Shanghai, China","A government research institute responsible for the inspection, testing, and research of food and drug products to ensure public safety and compliance with regulations.",[Not Available],Government/Research Institute,Yes,No,Yes,No,,,,
SHANGHAI FOSUN LONG MARCH MEDICAL SCI CO,[Not Available],"Shanghai, China","A company under the Fosun Group, specializing in medical science, including the development of diagnostic reagents and medical devices.",[Not Available],Medical Devices/Diagnostics,No,Yes,Yes,No,,,,
SHANGHAI FOSUN PHARM INDUSTRIAL DEVELOPMENT CO LTD,[Not Available],"Shanghai, China","A subsidiary of Fosun Pharma, focused on pharmaceutical development and industrial operations within the healthcare sector.",[Not Available],Pharmaceuticals/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI GAIPU BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company engaged in the research and development of innovative biotechnological products and solutions, focusing on healthcare and life sciences.",[Not Available],Biotechnology/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI GANHE BUSINESS INFORMATION CONSULTING CO LTD,[Not Available],"Shanghai, China","A business consulting firm offering specialized services in market research, business strategy, and information consulting for various industries.",[Not Available],Business Consulting/Information Services,No,Yes,No,No,,,,
SHANGHAI GANYI BIOMEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biomedical technology company focused on the development of innovative therapeutic products and technologies for the treatment of various diseases.,[Not Available],Biomedical/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI GENERAL HOSPITAL,[Not Available],"Shanghai, China","A leading hospital in Shanghai providing comprehensive medical services, including diagnosis, treatment, and research in various medical specialties.",[Not Available],Healthcare/Hospital,Yes,No,Yes,Yes,,,,
SHANGHAI GENEODX BIOTECH CO LTD,[Not Available],"Shanghai, China","A biotechnology company specializing in genetic diagnostics and personalized medicine, offering advanced diagnostic solutions for various genetic disorders.",[Not Available],Biotechnology/Diagnostics,No,Yes,Yes,No,,,,
SHANGHAI GENEPHARMA CO LTD,[Not Available],"Shanghai, China","A pharmaceutical company engaged in the research, development, and commercialization of gene-based therapies and biopharmaceutical products.",[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI GENESC BIOTECH CO LTD,[Not Available],"Shanghai, China","A biotechnology company focused on the development of cutting-edge biotechnological solutions, including gene editing and molecular diagnostics.",[Not Available],Biotechnology/Genomics,No,Yes,Yes,No,,,,
SHANGHAI GENO BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company dedicated to the research and development of innovative products in the field of genomics and molecular biology, with applications in healthcare and agriculture.",[Not Available],Biotechnology/Genomics,No,Yes,Yes,No,,,,
SHANGHAI GN ARCHITECTURAL PLANNING & DESIGN CO LTD,[Not Available],"Shanghai, China","A company specializing in architectural planning and design, offering services in urban planning, building design, and infrastructure development.",[Not Available],Architecture/Urban Planning,No,Yes,No,No,,,,
SHANGHAI GREAT TECHNOLOGY INDUSTRY CO LTD,[Not Available],"Shanghai, China","An industrial technology company engaged in the research, development, and manufacturing of advanced technological products and solutions for various industries.",[Not Available],Industrial Technology/Manufacturing,No,Yes,No,No,,,,
SHANGHAI GUANKE PHARM TECHNOLOGY DEVELOPMENT CO LTD,[Not Available],"Shanghai, China",A pharmaceutical technology company focused on the development and commercialization of innovative drugs and therapies.,[Not Available],Pharmaceuticals/Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI HAIJU BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company engaged in research and development of biological products, focusing on healthcare and environmental applications.",[Not Available],Biotechnology/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI HAIYAN PHARM TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A pharmaceutical technology company focused on drug development, formulation, and pharmaceutical research.",[Not Available],Pharmaceuticals/Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI HEJING PHARM TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A pharmaceutical technology company involved in the development and production of innovative pharmaceutical products and technologies.,[Not Available],Pharmaceuticals/Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI HENGRUI PHARMACEUTICAL CO LTD,[Not Available],"Shanghai, China","A leading pharmaceutical company engaged in the research, development, manufacturing, and marketing of a wide range of pharmaceutical products, including oncology drugs, cardiovascular medications, and more.",[Not Available],Pharmaceuticals/Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI HENLIUS BIOTECH INC,[Not Available],"Shanghai, China","A biopharmaceutical company specializing in the research, development, and production of biologic drugs, including biosimilars and innovative monoclonal antibodies.",[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI HEYI INDUSTRY CO LTD,[Not Available],"Shanghai, China","An industrial company involved in manufacturing and providing industrial products and services across various sectors, including construction, manufacturing, and more.",[Not Available],Industrial/Manufacturing,No,Yes,No,No,,,,
SHANGHAI HOMOGENE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A technology company focusing on the development of innovative solutions in the field of biotechnology and medical technology.,[Not Available],Biotechnology/Medical Technology,No,Yes,Yes,No,,,,
SHANGHAI HONGXU BIOLOGICAL MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A company engaged in the research, development, and commercialization of biological and medical technologies.",[Not Available],Biotechnology/Medical Technology,No,Yes,Yes,No,,,,
SHANGHAI HUIDUN YINTAI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on innovative research and development in the healthcare and pharmaceutical industries.,[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI HUIGUAN TRADING CO LTD,[Not Available],"Shanghai, China","A trading company specializing in the distribution and supply of various goods, including medical and pharmaceutical products.",[Not Available],Trading/Distribution,No,Yes,No,No,,,,
SHANGHAI HUIHE HEALTHCARE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A healthcare technology company dedicated to developing innovative healthcare solutions and medical devices.,[Not Available],Healthcare Technology/Medical Devices,No,Yes,Yes,No,,,,
SHANGHAI HUIHE MEDICAL TREATMENT TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A company focusing on medical treatment technologies, providing innovative solutions and devices for the healthcare industry.",[Not Available],Medical Technology/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI HUILUN BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company involved in research, development, and production of biotechnological products for healthcare applications.",[Not Available],Biotechnology/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI HUIQI BIOMEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biomedical technology company focusing on the development of advanced biomedical products and technologies for the healthcare sector.,[Not Available],Biomedical Technology/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI HUISHI CHEM CO LTD,[Not Available],"Shanghai, China",A chemical company specializing in the production and distribution of chemical products for various industrial and medical applications.,[Not Available],Chemicals/Industrial,No,Yes,No,No,,,,
SHANGHAI HYBRIBIO MEDICAL LAB CO LTD,[Not Available],"Shanghai, China",A medical laboratory company providing advanced diagnostic and research services in the field of medical testing and biotechnology.,[Not Available],Medical Laboratory/Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI INFECTIOUS DISEASE & BIOSECURITY INSTITUTE,[Not Available],"Shanghai, China","An institute dedicated to research and development in infectious diseases and biosecurity, focusing on improving public health through advanced scientific research.",[Not Available],Research/Healthcare,Yes,No,Yes,No,,,,
"SHANGHAI INSTITUTE OF CERAMICS, CHINESE ACADEMY OF SCIENCES",[Not Available],"Shanghai, China","A research institute under the Chinese Academy of Sciences specializing in ceramic materials and technologies, contributing to advanced research in material science.",[Not Available],Research/Material Science,Yes,No,Yes,No,,,,
SHANGHAI INSTITUTE OF IMMUNOLOGY,[Not Available],"Shanghai, China","An institute focused on research in immunology, studying immune system mechanisms and developing immunotherapeutic strategies.",[Not Available],Research/Immunology,Yes,No,Yes,No,,,,
SHANGHAI INSTITUTE OF INFECTIOUS DISEASE & BIOSECURITY,[Not Available],"Shanghai, China","A research institute dedicated to studying infectious diseases and biosecurity, aiming to advance knowledge and develop solutions to public health threats.",[Not Available],Research/Healthcare,Yes,No,Yes,No,,,,
"SHANGHAI INSTITUTE OF MATERIA MEDICA, CHINESE ACADEMY OF SCIENCES",[Not Available],"Shanghai, China",A research institute under the Chinese Academy of Sciences specializing in materia medica (traditional Chinese medicine) and pharmaceutical research.,[Not Available],Research/Pharmaceuticals,Yes,No,Yes,No,,,,
SHANGHAI INSTITUTE OF MEASUREMENT & TESTING TECHNOLOGY,[Not Available],"Shanghai, China","An institute focused on measurement and testing technology, providing research and development in accuracy and standards for various technological applications.",[Not Available],Research/Technology,Yes,No,Yes,No,,,,
SHANGHAI INSTITUTE OF MICROSYSTEMS & INFORMATION TECHNOLOGY,[Not Available],"Shanghai, China","A research institute specializing in microsystems and information technology, focusing on advancements in microelectronics and related fields.",[Not Available],Research/Microsystems,Yes,No,Yes,No,,,,
SHANGHAI INSTITUTE OF PLANNED PARENTHOOD RESEARCH,[Not Available],"Shanghai, China","An institute dedicated to research in family planning and reproductive health, working on advancements in contraceptive technologies and reproductive health services.",[Not Available],Research/Healthcare,Yes,No,Yes,No,,,,
SHANGHAI INTERNATIONAL HUMAN PHENOME INSTITUTE,[Not Available],"Shanghai, China","An institute dedicated to the study of human phenomics, focusing on the relationship between genetic and environmental factors and human health.",[Not Available],Research/Healthcare,Yes,No,Yes,No,,,,
SHANGHAI INTERNATIONAL TRAVEL HEALTHCARE CENTER,[Not Available],"Shanghai, China","A healthcare center specializing in travel medicine, providing vaccinations, health advice, and services for international travelers.",[Not Available],Healthcare/Travel Medicine,No,Yes,No,Yes,,,,
SHANGHAI INTECHEM TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A company specializing in chemical technology, focusing on the development and application of chemical products in various industries.",[Not Available],Chemical Technology,No,Yes,No,No,,,,
SHANGHAI JEMINCARE PHARM CO LTD,[Not Available],"Shanghai, China",A pharmaceutical company focused on the development and production of medications and health products.,[Not Available],Pharmaceuticals,No,Yes,No,No,,,,
SHANGHAI JENOMED BIOLOGICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company involved in developing biological and medical technologies, including diagnostic and therapeutic solutions.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI JIADING CENTRAL HOSPITAL,[Not Available],"Shanghai, China","A central hospital providing comprehensive medical services including emergency care, outpatient services, and specialized treatments.",[Not Available],Healthcare/Hospital,No,No,No,Yes,,,,
SHANGHAI JIAKANG BIOLOGICAL ENGINEERING CO LTD,[Not Available],"Shanghai, China",A company specializing in biological engineering and the development of biotechnological products and solutions.,[Not Available],Biotechnology/Biological Engineering,No,Yes,Yes,No,,,,
SHANGHAI JIANCAI MEDICAL EQUIPMENT CO LTD,[Not Available],"Shanghai, China",A company focused on manufacturing and supplying medical equipment and devices for various healthcare applications.,[Not Available],Medical Equipment,No,Yes,No,No,,,,
SHANGHAI JIANYI TENGCHUANG BIOMEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biomedical technology company specializing in innovative research and development in the field of biomedicine.,[Not Available],Biomedical Technology,No,Yes,Yes,No,,,,
SHANGHAI JIEMEN BIO-TECH CO LTD,[Not Available],"Shanghai, China",A biotechnology company engaged in the development of biotechnological solutions and products for healthcare and research.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI JINNUO AOMEI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focusing on research and development of advanced biotechnological products and services.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI JINSI YUANCHUANG BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company specializing in innovative solutions and products for the biotechnological and pharmaceutical industries.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI JIXUAN BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on developing and commercializing biotechnological products and solutions.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI JIXUAN TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A technology company specializing in advanced technological solutions and products across various sectors.,[Not Available],Technology,No,Yes,No,No,,,,
SHANGHAI JIYU MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A medical technology company focusing on the development of medical devices and technologies for healthcare applications.,[Not Available],Medical Technology,No,Yes,No,No,,,,
SHANGHAI JUNNA MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A company specializing in medical technology, focusing on innovations in medical devices and diagnostic tools.",[Not Available],Medical Technology,No,Yes,No,No,,,,
SHANGHAI JUNSHI BIOMEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biomedical technology company dedicated to developing advanced biomedical products and solutions.,[Not Available],Biomedical Technology,No,Yes,Yes,No,,,,
SHANGHAI JUNSHI BIOSCIENCES CO LTD,[Not Available],"Shanghai, China",A biosciences company focused on research and development in the field of biotechnology and life sciences.,[Not Available],Biosciences,No,Yes,Yes,No,,,,
SHANGHAI JUNTOP BIOSCIENCE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A company specializing in bioscience technology, providing solutions for research and development in the biosciences field.",[Not Available],Biosciences Technology,No,Yes,Yes,No,,,,
SHANGHAI JUNYUAN BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on the development of biotechnological solutions for various applications.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI JUNZHI ENVIRONMENTAL ENGINEERING CO LTD,[Not Available],"Shanghai, China",An environmental engineering company specializing in solutions for environmental protection and sustainability.,[Not Available],Environmental Engineering,No,Yes,No,No,,,,
SHANGHAI JUZHI NEW MATERIAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company focused on the development and application of new materials and technologies for various industrial uses.,[Not Available],New Materials Technology,No,Yes,No,No,,,,
SHANGHAI KAIBAO PHARM CO LTD,[Not Available],"Shanghai, China","A pharmaceutical company engaged in the development, production, and distribution of various pharmaceutical products.",[Not Available],Pharmaceuticals,No,Yes,No,No,,,,
SHANGHAI KAIJING BIOLOGICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company specializing in biological technology and its applications in health and medicine.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI KAITUO BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on the development of innovative biotechnological products and solutions.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI KING-CELL BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company specializing in cell-based biotechnology and its applications in healthcare and research.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI KNOWSHINE BIOMEDICINE DEVELOPMENT CO LTD,[Not Available],"Shanghai, China",A biomedical development company focused on research and development in the field of biomedicine.,[Not Available],Biomedicine,No,Yes,Yes,No,,,,
SHANGHAI LABEX BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company providing solutions and products for laboratory and research applications.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI LABWAY MEDICAL EXAMINATION INSTITUTE,[Not Available],"Shanghai, China","An institute specializing in medical examinations and diagnostics, providing comprehensive testing services.",[Not Available],Medical Diagnostics,No,No,Yes,No,,,,
SHANGHAI LAIYI BIOMEDICAL RESEARCH & DEVELOPMENT CENTER,[Not Available],"Shanghai, China",A research and development center focused on advancements in biomedical science and technology.,[Not Available],Biomedical Research,No,Yes,Yes,No,,,,
SHANGHAI LAIZI SOFTWARE TECHNOLOGY CO,[Not Available],"Shanghai, China",A software technology company specializing in developing software solutions for various industries.,[Not Available],Software Technology,No,Yes,No,No,,,,
SHANGHAI LANANG MEDICAL TECHNOLOGY DEVELOPMENT,[Not Available],"Shanghai, China",A medical technology development company focusing on creating innovative medical devices and technologies.,[Not Available],Medical Technology,No,Yes,No,No,,,,
SHANGHAI LANGYAN OPTOELECTRONICS TECHNOLOGY,[Not Available],"Shanghai, China",An optoelectronics technology company specializing in optical and electronic technologies and their applications.,[Not Available],Optoelectronics,No,Yes,No,No,,,,
SHANGHAI LANSHA BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company involved in the research and development of biotechnological products and services.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI LEKONGJING HEALTH TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A health technology company specializing in health and wellness products and technologies.,[Not Available],Health Technology,No,Yes,No,No,,,,
SHANGHAI LIANGRUN BIOMEDICINE SCIENCE & TECHNOLOGY,[Not Available],"Shanghai, China",A company focused on scientific research and technology development in the field of biomedicine.,[Not Available],Biomedical Science & Technology,No,Yes,Yes,No,,,,
SHANGHAI LIANGRUN BIOPHARM TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biopharmaceutical technology company focused on the development and commercialization of biopharmaceutical products.,[Not Available],Biopharmaceutical Technology,No,Yes,Yes,No,,,,
SHANGHAI LIBAI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company involved in research and development of biotechnological solutions.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI LICHENG BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company specializing in biotechnology with a focus on developing biotechnological products and services.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI LITEDD CO LTD,[Not Available],"Shanghai, China","A company specializing in technology and development, focusing on various technological solutions.",[Not Available],Technology,No,Yes,No,No,,,,
SHANGHAI MATERIA MEDICA CAS INST,[Not Available],"Shanghai, China",An institute under the Chinese Academy of Sciences focused on research in materia medica and related fields.,[Not Available],Materia Medica Research,Yes,No,Yes,No,,,,
SHANGHAI MCC HOSPITAL,[Not Available],"Shanghai, China",A hospital providing comprehensive medical services and healthcare to patients in the Shanghai region.,[Not Available],Healthcare,No,No,No,Yes,,,,
SHANGHAI PUDONG NEW AREA GONGLI HOSPITAL,[Not Available],"Shanghai, China","A hospital located in the Pudong New Area of Shanghai, providing comprehensive medical services and healthcare.",[Not Available],Healthcare,No,No,No,Yes,,,,
SHANGHAI PULMONARY HOSPITAL,[Not Available],"Shanghai, China",A specialized hospital focusing on pulmonary diseases and respiratory care.,[Not Available],Healthcare,No,No,No,Yes,,,,
SHANGHAI QILU PHARM RES & DEV CENT LTD,[Not Available],"Shanghai, China",A research and development center focusing on pharmaceutical research and development.,[Not Available],Pharmaceuticals R&D,No,Yes,Yes,No,,,,
SHANGHAI QUALITY AIR PURIFICATION TECHNOLOGY,[Not Available],"Shanghai, China",A company specializing in air purification technology and solutions.,[Not Available],Air Purification Technology,No,Yes,No,No,,,,
SHANGHAI RENDU BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company involved in research and development in biotechnological applications.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI RIGHTON GENE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company specializing in gene technology and genetic research.,[Not Available],Gene Technology,No,Yes,Yes,No,,,,
SHANGHAI RNACURE BIOPHARMA CO LTD,[Not Available],"Shanghai, China",A biopharmaceutical company focusing on RNA-based therapies and treatments.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI ROI OPTOELECTRONICS TECHNOLOGY,[Not Available],"Shanghai, China",A company specializing in optoelectronics technology and its applications.,[Not Available],Optoelectronics,No,Yes,No,No,,,,
SHANGHAI RONGXIANG BIOTECH CO LTD,[Not Available],"Shanghai, China",A biotechnology company involved in the development of biotechnological solutions and products.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI RUISHIAN TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A technology company focused on developing and providing advanced technological solutions.,[Not Available],Technology,No,Yes,No,No,,,,
SHANGHAI RUITAI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company engaged in research and development of biotechnological products.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI SEAGOOD MEDICAL TECHNOLOGY CO,[Not Available],"Shanghai, China",A medical technology company specializing in innovative healthcare solutions and technologies.,[Not Available],Medical Technology,No,Yes,No,No,,,,
SHANGHAI SHENLIAN BIOMEDICAL CORP,[Not Available],"Shanghai, China",A biomedical corporation focused on developing and commercializing biomedicine solutions.,[Not Available],Biomedicine,No,Yes,Yes,No,,,,
SHANGHAI SHUERBEI MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A medical technology company involved in developing innovative medical technologies and solutions.,[Not Available],Medical Technology,No,Yes,No,No,,,,
SHANGHAI SHUIFAN TECHNOLOGY GROUP CO LTD,[Not Available],"Shanghai, China",A technology group specializing in various technological solutions and services.,[Not Available],Technology,No,Yes,No,No,,,,
SHANGHAI SILUDI MEDICAL LAB CO LTD,[Not Available],"Shanghai, China",A medical laboratory company providing diagnostic and testing services.,[Not Available],Medical Diagnostics,No,Yes,No,No,,,,
SHANGHAI SINOBAY BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on research and development of biotechnological products.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI SITAIDE MEDICAL TESTING LAB CO,[Not Available],"Shanghai, China",A medical testing laboratory providing diagnostic and analytical testing services.,[Not Available],Medical Testing,No,Yes,No,No,,,,
SHANGHAI SPARK PHARM CO LTD,[Not Available],"Shanghai, China",A pharmaceutical company involved in the development and manufacturing of pharmaceutical products.,[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI SUCHUANG DIAGNOSTIC PROD CO LTD,[Not Available],"Shanghai, China",A company specializing in diagnostic products and solutions.,[Not Available],Diagnostic Products,No,Yes,No,No,,,,
SHANGHAI SUXIN BIOLOGICAL TECHNOLOGY CO,[Not Available],"Shanghai, China","A company specializing in biological technology, focusing on various biotechnological applications and solutions.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI SYLVANUS GENE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company focused on gene technology and genetic research.,[Not Available],Gene Technology,No,Yes,Yes,No,,,,
SHANGHAI SYNCORES TECHNOLOGIES INC,[Not Available],"Shanghai, China",A technology company specializing in advanced technological solutions and innovations.,[Not Available],Technology,No,Yes,No,No,,,,
SHANGHAI SYNFORCE BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company engaged in the development of biotechnological products and solutions.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI TAIHUI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company specializing in biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI TAIZI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on biotechnological applications and innovations.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI TANYIN MEDICAL TESTING LAB CO,[Not Available],"Shanghai, China",A medical laboratory providing diagnostic testing and analysis services.,[Not Available],Medical Diagnostics,No,Yes,No,No,,,,
SHANGHAI TECH PHYSICS INST CHINESE ACAD,[Not Available],"Shanghai, China",A research institute under the Chinese Academy of Sciences focusing on technological physics.,[Not Available],Research & Development,Yes,No,Yes,No,,,,
SHANGHAI TENTH PEOPLES HOSPITAL,[Not Available],"Shanghai, China",A major hospital providing comprehensive medical services in Shanghai.,[Not Available],Healthcare,No,No,No,Yes,,,,
SHANGHAI TISU INFORMATION TECHNOLOGY CO,[Not Available],"Shanghai, China",A company specializing in information technology solutions and services.,[Not Available],Information Technology,No,Yes,No,No,,,,
SHANGHAI TOFFLON AIREX SCI & TECHNOLOGY,[Not Available],"Shanghai, China",A company specializing in air filtration and purification technologies.,[Not Available],Air Filtration Technology,No,Yes,No,No,,,,
SHANGHAI TOLO BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focusing on research and development of biotechnological products.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI TONCOM MUNICIPAL FACILITY,[Not Available],"Shanghai, China",A company involved in the management and development of municipal facilities.,[Not Available],Municipal Services,No,Yes,No,No,,,,
SHANGHAI TONGJI HOSPITAL,[Not Available],"Shanghai, China",A major hospital providing a wide range of medical services and treatments.,[Not Available],Healthcare,No,No,No,Yes,,,,
SHANGHAI TONGREN HOSPITAL,[Not Available],"Shanghai, China",A comprehensive hospital offering various medical services and specialized care.,[Not Available],Healthcare,No,No,No,Yes,,,,
SHANGHAI TONGSHANG TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A technology company providing various technological solutions and innovations.,[Not Available],Technology,No,Yes,No,No,,,,
SHANGHAI TONGXU GENE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company specializing in gene technology and related research.,[Not Available],Gene Technology,No,Yes,Yes,No,,,,
SHANGHAI TONGZHOU BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on the development of biotechnological solutions.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI TOUJING LIFE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A company focusing on life sciences and biotechnology advancements.,[Not Available],Life Sciences,No,Yes,Yes,No,,,,
SHANGHAI TRADITIONAL CHINESE MEDICINE,[Not Available],"Shanghai, China",An institution specializing in Traditional Chinese Medicine (TCM) and related therapies.,[Not Available],Traditional Chinese Medicine,No,No,No,Yes,,,,
