Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
INST GENETYKI CZLOWIEKA POLSKIEJ AKAD NA,[Not Available],"Warsaw, Poland","Institute of Human Genetics, Polish Academy of Sciences focuses on research in human genetics, including genetic disorders, gene therapy, and genomic studies.",[Not Available],Human Genetics / Research,Yes,No,Yes,No
INST GRUZLICY & CHOROB PLUC,[Not Available],[Not Available],"Institute of Tuberculosis and Lung Diseases conducts research and provides clinical services related to respiratory diseases, including tuberculosis and other lung conditions.",[Not Available],Respiratory Diseases / Research,Yes,No,Yes,Yes
INST HIGH ENERGY PHYSICS CHINESE ACAD SC,[Not Available],"Beijing, China","Institute of High Energy Physics, Chinese Academy of Sciences focuses on research in high energy physics, including particle physics and cosmology, contributing to advancements in fundamental physics.",[Not Available],High Energy Physics / Research,Yes,No,Yes,No
INST INVESTIGACIO SANITARIA PERE VIRGILI,https://www.perevirgili.cat/,"Tarragona, Spain","Institut d'InvestigaciÃ³ SanitÃ ria Pere Virgili is a research institute dedicated to advancing health research, focusing on biomedical and clinical research to improve healthcare outcomes.",2009,Health Research / Biomedical Research,No,No,Yes,Yes
INST INVESTIGACIONS BIOMEDIQUES SUNYER,https://www.idibaps.org/,"Barcelona, Spain","Institut d'Investigacions BiomÃ¨diques August Pi i Sunyer (IDIBAPS) focuses on biomedical research, aiming to advance knowledge in health and disease, with a particular emphasis on translating research into clinical applications.",1997,Biomedical Research,No,No,Yes,Yes
INST LAB ANIMAL SCI CHINESE ACAD MEDICAL,[Not Available],"Beijing, China","Institute of Laboratory Animal Science, Chinese Academy of Medical Sciences focuses on research related to laboratory animals, including animal models for medical research and the ethical care of laboratory animals.",[Not Available],Laboratory Animal Science / Research,Yes,No,Yes,No
INST MEDICAL BIOLOGY CHINESE ACAD MEDICA,[Not Available],"Beijing, China","Institute of Medical Biology, Chinese Academy of Medical Sciences focuses on medical biology research, including the study of diseases, biological processes, and potential therapeutic approaches.",[Not Available],Medical Biology / Research,Yes,No,Yes,No
INST MEDICAL BIOTECHNOLOGY CHINESE ACAD,[Not Available],"Beijing, China","Institute of Medical Biotechnology, Chinese Academy of Sciences focuses on research and development in medical biotechnology, including novel therapies, diagnostics, and biotechnological innovations.",[Not Available],Medical Biotechnology / Research,Yes,No,Yes,No
INST MEDICINA MOLECULAR JOAO LOBO ANTUNE,[Not Available],[Not Available],"Instituto de Medicina Molecular JoÃ£o Lobo Antunes focuses on molecular medicine research, including the study of molecular mechanisms in health and disease to develop new therapeutic strategies.",[Not Available],Molecular Medicine / Research,No,No,Yes,No
INST MEDICINAL PLANT CHINESE ACAD MEDICA,[Not Available],"Beijing, China","Institute of Medicinal Plants, Chinese Academy of Medical Sciences focuses on research related to medicinal plants, including their therapeutic properties, drug development, and applications in traditional medicine.",[Not Available],Medicinal Plants / Research,Yes,No,Yes,No
INST MEXICANO DEL SEGURO SOCIAL,https://www.imss.gob.mx/,"Mexico City, Mexico","Instituto Mexicano del Seguro Social (IMSS) is a Mexican social security institution providing healthcare services, social security benefits, and medical research.",1943,Healthcare / Social Security,Yes,No,Yes,Yes
INST MICROBIOLOGY EPIDEMIOLOGY MILITARY,[Not Available],[Not Available],"Institute of Microbiology and Epidemiology focuses on research related to microbiology and epidemiology within a military context, including infectious diseases and public health measures.",[Not Available],Microbiology / Epidemiology,Yes,No,Yes,No
INST MOLEKULARE BIOTECHNOLOGIE GMBH,[Not Available],[Not Available],"Institute of Molecular Biotechnology focuses on research and development in molecular biotechnology, including genetic engineering, molecular diagnostics, and innovative biotechnological applications.",[Not Available],Molecular Biotechnology / Research,No,Yes,Yes,No
INST MOLEKULARE DIAGNOSTIK & INNOVATIVE,[Not Available],[Not Available],"Institute of Molecular Diagnostics and Innovative Technologies focuses on research and development in molecular diagnostics, including advanced diagnostic tools and innovative medical technologies.",[Not Available],Molecular Diagnostics / Innovative Technologies,No,Yes,Yes,No
INST NACIONAL CIENCIAS MEDICAS Y NUTRICI,[Not Available],[Not Available],"Instituto Nacional de Ciencias MÃ©dicas y NutriciÃ³n Salvador ZubirÃ¡n focuses on medical and nutritional sciences research, including the study of diseases, nutrition, and public health.",[Not Available],Medical and Nutritional Sciences / Research,Yes,No,Yes,Yes
INST NACIONAL INVESTIGACION & TECNOLOGIA,[Not Available],[Not Available],"Instituto Nacional de InvestigaciÃ³n y TecnologÃ­a focuses on research and technological development across various scientific disciplines, aiming to support innovation and advancements in technology.",[Not Available],Research & Technology,Yes,No,Yes,No
INST NACIONAL TECNOLOGIA AGROPECUARIA,[Not Available],[Not Available],"Instituto Nacional de TecnologÃ­a Agropecuaria focuses on agricultural technology research and development, including crop improvement, livestock management, and sustainable agricultural practices.",[Not Available],Agricultural Technology / Research,Yes,No,Yes,No
INST NAT CERC-DEZVOLTARE FIZICA TEHNICA,[Not Available],[Not Available],"Institut National de Recherche et DÃ©veloppement en Physique et Technique focuses on research and development in physical sciences and technical applications, including physics, engineering, and technology.",[Not Available],Physical Sciences / Technical Research,Yes,No,Yes,No
INST NAT RECH AGRIC ALIMENTATION & ENVIR,[Not Available],[Not Available],"Institut National de Recherche en Agronomie, Alimentation et Environnement focuses on agricultural research, food sciences, and environmental sustainability.",[Not Available],Agriculture / Food Sciences / Environment,Yes,No,Yes,No
INST NAT RECH SCI,[Not Available],[Not Available],"Institut National de Recherche en Sciences focuses on fundamental and applied research across various scientific disciplines, including physical sciences, life sciences, and technology.",[Not Available],Scientific Research,Yes,No,Yes,No
INST NAT SANTE & RECH MEDICALE INSERM,https://www.inserm.fr/,"Paris, France","Institut National de la SantÃ© et de la Recherche MÃ©dicale (INSERM) is a French public organization dedicated to biomedical and clinical research, aiming to advance medical knowledge and improve health outcomes.",1964,Biomedical Research / Medical Research,Yes,No,Yes,No
INST NAT SANTE EDRA RICHE CHERCHE MEDICA,[Not Available],[Not Available],"Institut National de la SantÃ©, Ãdras Riche en Recherche MÃ©dicale focuses on advanced medical research, aiming to contribute to the development of new treatments and medical knowledge.",[Not Available],Medical Research,Yes,No,Yes,No
INST NAT SCI & IND VIVANT & ENVIRONN,[Not Available],[Not Available],"Institut National des Sciences et Industries du Vivant et de l'Environnement focuses on research and innovation in life sciences, agriculture, and environmental sciences.",[Not Available],Life Sciences / Environmental Sciences,Yes,No,Yes,No
INST OCEANOLOGY CHINESE ACAD SCI,[Not Available],"Beijing, China","Institute of Oceanology, Chinese Academy of Sciences focuses on oceanography research, including marine ecosystems, oceanic processes, and marine resources.",[Not Available],Oceanology / Marine Research,Yes,No,Yes,No
INST PAOLI JEAN & CALMETTES IRENE,[Not Available],[Not Available],Institut Paoli-Calmettes is a French cancer research and treatment center dedicated to advancing oncology research and providing high-quality cancer care.,[Not Available],Cancer Research / Treatment,No,No,Yes,Yes
INST PASTEUR,https://www.pasteur.fr/,"Paris, France","Institut Pasteur is a renowned French research institute specializing in microbiology, virology, and immunology, aiming to advance knowledge and public health through research and innovation.",1887,Microbiology / Infectious Diseases / Research,No,No,Yes,No
INST PATHOGEN BIOLOGY CHINESE ACAD MEDIC,[Not Available],"Beijing, China","Institute of Pathogen Biology, Chinese Academy of Medical Sciences focuses on the study of pathogens, including bacteria, viruses, and parasites, with an emphasis on understanding their biology and developing diagnostics and treatments.",[Not Available],Pathogen Biology / Research,Yes,No,Yes,No
INST PESQUISAS TECNOLOGICAS DO ESTADO,[Not Available],[Not Available],"Instituto de Pesquisas TecnolÃ³gicas do Estado focuses on technological research and development, supporting innovation and industrial advancements within the region.",[Not Available],Technological Research / Innovation,Yes,No,Yes,No
INST PHYSICAL & CHEM RES,[Not Available],[Not Available],"Institute of Physical and Chemical Research focuses on research in physical and chemical sciences, including experimental and theoretical studies to advance understanding in these fields.",[Not Available],Physical Sciences / Chemical Research,No,No,Yes,No
INST PROCESS ENG CHINESE ACAD SCI,[Not Available],"Beijing, China","Institute of Process Engineering, Chinese Academy of Sciences specializes in research and development in process engineering, including chemical processes, materials processing, and engineering applications.",[Not Available],Process Engineering / Research,Yes,No,Yes,No
INST PUBLICA INST FIZIOLOGIE SI SANOCREA,[Not Available],[Not Available],"Instituto PÃºblico de Fisiologia y Sanocrea focuses on research in physiology and health sciences, aiming to advance knowledge in these fields to improve public health.",[Not Available],Physiology / Health Sciences,Yes,No,Yes,No
INST RADIATION MEDICINE CHINESE ACAD MED,[Not Available],"Beijing, China","Institute of Radiation Medicine, Chinese Academy of Medical Sciences focuses on research related to radiation medicine, including the study of radiation effects on health, diagnostic techniques, and therapeutic applications.",[Not Available],Radiation Medicine / Research,Yes,No,Yes,No
INST RECERCA BIOMEDICA LLEIDA FUNDACIO,https://www.fundaciorecerca.cat/,"Lleida, Spain",FundaciÃ³n Instituto de InvestigaciÃ³n BiomÃ©dica de Lleida (FIR) focuses on biomedical research with an emphasis on understanding diseases and developing innovative treatments to improve health outcomes.,2004,Biomedical Research,No,No,Yes,Yes
INST RECH DEV,[Not Available],[Not Available],"Institut de Recherche et DÃ©veloppement focuses on research and development across various scientific and technological disciplines, aiming to foster innovation and progress in these fields.",[Not Available],Research & Development,No,Yes,Yes,No
INST RES IN BIOMEDICINE,[Not Available],[Not Available],"Institute of Research in Biomedicine focuses on advancing knowledge in biomedical sciences, including the study of diseases, drug development, and therapeutic innovations.",[Not Available],Biomedical Research,No,No,Yes,No
INST ROUSSY GUSTAVE,https://www.roche.com/,"Villejuif, France","Institut Gustave Roussy is a leading European cancer center dedicated to cancer treatment, research, and teaching, aiming to advance knowledge and improve patient care in oncology.",1926,Cancer Research / Treatment,No,No,Yes,Yes
INST SUPERIORE DI SANITA,https://www.iss.it/,"Rome, Italy","Istituto Superiore di SanitÃ  (ISS) is Italy's leading national public health institute, focusing on research, surveillance, and health promotion across various fields, including infectious diseases, environmental health, and biomedical research.",1934,Public Health / Research,Yes,No,Yes,No
INST SYSTEMS BIOLOGY,[Not Available],[Not Available],"Institute of Systems Biology focuses on understanding complex biological systems through integrative approaches that combine genomics, proteomics, and computational biology.",[Not Available],Systems Biology / Research,No,No,Yes,No
INST TECHNOLOGII BEZPIECZENSTWA MORATEX,[Not Available],[Not Available],"Instytut Technologii BezpieczeÅstwa MORATEX focuses on safety technology and protective materials, including research and development in areas such as personal protective equipment and industrial safety.",[Not Available],Safety Technology / Research,No,No,Yes,No
INST URBAN ENVIRONMENT CHINESE ACAD SCI,[Not Available],"Beijing, China","Institute of Urban Environment, Chinese Academy of Sciences focuses on research related to urban environments, including environmental pollution, urban planning, and sustainable development.",[Not Available],Urban Environment / Research,Yes,No,Yes,No
INST VIROLOGIE & IMMUNOLOGIE IVI,[Not Available],[Not Available],"Institut de Virologie et Immunologie focuses on research in virology and immunology, aiming to understand viral diseases and immune responses to develop new treatments and vaccines.",[Not Available],Virology / Immunology,No,No,Yes,No
INST VITAL BRAZIL SA,[Not Available],[Not Available],"Instituto Vital Brazil focuses on the development and production of immunobiological products, including vaccines and antivenoms, for public health and disease prevention.",[Not Available],Immunobiology / Vaccine Production,No,No,Yes,No
INSTADEEP LTD,https://www.instadeep.com/,"London, United Kingdom","InstaDeep Ltd is a company specializing in artificial intelligence and machine learning solutions, providing advanced analytics and decision-making support for various industries, including healthcare.",2014,Artificial Intelligence / Machine Learning,No,Yes,No,No
INT ADVANTAGE INC,[Not Available],[Not Available],"INT Advantage Inc focuses on providing advanced technological solutions and consulting services in various sectors, including information technology and business operations.",[Not Available],Technology Solutions / Consulting,No,Yes,No,No
INT AIDS VACCINE INITIATIVE INC,https://www.iavi.org/,"New York, United States",The International AIDS Vaccine Initiative (IAVI) is a nonprofit organization dedicated to accelerating the development of HIV vaccines and supporting global health initiatives related to HIV/AIDS.,1996,HIV Research / Vaccine Development,No,No,Yes,No
INT BUSINESS MACHINES CORP,https://www.ibm.com/,"Armonk, New York, United States","International Business Machines Corporation (IBM) is a global technology company specializing in computer hardware, software, and services, including artificial intelligence, cloud computing, and quantum computing.",1911,Technology / Computing,No,Yes,No,No
INT CENT GENETIC ENG & BIOTECHNOLOGY,[Not Available],[Not Available],International Center for Genetic Engineering and Biotechnology focuses on advanced research and development in genetic engineering and biotechnology to address global health and environmental challenges.,[Not Available],Genetic Engineering / Biotechnology,No,No,Yes,No
INT CONSULTATIVE DIAGNOSTIC MEDICAL CENT,[Not Available],[Not Available],"International Consultative Diagnostic Medical Center provides diagnostic services and consultations for medical conditions, with a focus on advanced diagnostic technologies and personalized medicine.",[Not Available],Medical Diagnostics,No,Yes,No,Yes
INT INTELLIGENT MACHINES CO LTD,[Not Available],[Not Available],"International Intelligent Machines Co. Ltd specializes in developing and implementing intelligent machine systems, including automation, robotics, and AI-driven technologies for various industries.",[Not Available],Intelligent Machines / Automation,No,Yes,No,No
INT PATENT HOLDINGS LLC,[Not Available],[Not Available],"International Patent Holdings LLC manages and holds patents in various technological and scientific fields, providing patent-related services and intellectual property management.",[Not Available],Intellectual Property / Patents,No,Yes,No,No
INT SPACE MEDICAL CO LTD,[Not Available],[Not Available],"International Space Medical Co. Ltd focuses on medical research and technology development related to space travel and extraterrestrial environments, including astronaut health and space medicine.",[Not Available],Space Medicine,No,Yes,No,No
INT VACCINE INST,[Not Available],[Not Available],"International Vaccine Institute is dedicated to vaccine research and development, with a focus on global health challenges and the creation of vaccines for infectious diseases.",[Not Available],Vaccine Research / Development,No,No,Yes,No
INTA INST NACIONAL TECNOLOGIA AGROPECUAR,[Not Available],[Not Available],Instituto Nacional de Tecnologia AgropecuÃ¡ria focuses on agricultural technology and research to support advancements in farming practices and agricultural sustainability.,[Not Available],Agricultural Technology / Research,Yes,No,Yes,No
INTE E LABS PRIVATE LTD,[Not Available],[Not Available],"Inte E Labs Private Ltd specializes in research and development in various technological fields, including electronics and laboratory innovations.",[Not Available],Technology / Laboratory Research,No,Yes,Yes,No
INTEC PROD XIAMEN TECHNOLOGY CO LTD,[Not Available],"Xiamen, China","Intec Prod Xiamen Technology Co. Ltd focuses on technology development and production, including electronic products and technological solutions for various industries.",[Not Available],Technology / Electronics,No,Yes,No,No
INTEGERBIO INC,[Not Available],[Not Available],"IntegerBio Inc is involved in biotechnology research and development, focusing on innovative approaches to biological and medical challenges.",[Not Available],Biotechnology,No,Yes,Yes,No
INTEGRATED VIRAL PROTECTION SOLUTIONS LLC,[Not Available],[Not Available],"Integrated Viral Protection Solutions LLC focuses on developing and implementing solutions for viral protection, including technologies and strategies to enhance safety and health in various environments.",[Not Available],Viral Protection / Health Solutions,No,Yes,No,No
INTELLIA THERAPEUTICS INC,https://www.intelliatx.com/,"Cambridge, Massachusetts, United States","Intellia Therapeutics Inc is a biotechnology company specializing in gene editing and genetic medicines, focusing on developing transformative therapies using CRISPR/Cas9 technology.",2014,Biotechnology / Gene Editing,No,Yes,No,No
INTELLIGENT MATERIAL SOLUTIONS INC,[Not Available],[Not Available],"Intelligent Material Solutions Inc focuses on developing advanced materials and technologies for various applications, including medical, industrial, and consumer products.",[Not Available],Advanced Materials,No,Yes,No,No
INTELLIGENT MULTIDIMENSIONAL DATA ANALYS,[Not Available],[Not Available],"Intelligent Multidimensional Data Analysis specializes in advanced data analytics and multidimensional data analysis solutions, providing insights and tools for various sectors, including healthcare and technology.",[Not Available],Data Analytics,No,Yes,No,No
INTELLISAFE LLC,[Not Available],[Not Available],"Intellisafe LLC provides advanced safety and security solutions, including technology and systems designed to enhance safety and risk management in various environments.",[Not Available],Safety / Security Solutions,No,Yes,No,No
INTELOS INC,[Not Available],[Not Available],"Intelos Inc focuses on developing innovative technologies and solutions in areas such as telecommunications, computing, and data management.",[Not Available],Technology / Telecommunications,No,Yes,No,No
INTENSIS CO LTD,[Not Available],[Not Available],"Intensis Co. Ltd specializes in advanced technological solutions and products, with a focus on enhancing performance and efficiency in various industries.",[Not Available],Technology,No,Yes,No,No
INTERCEPT PHARM INC,https://www.interceptpharma.com/,"New York, New York, United States","Intercept Pharmaceuticals Inc is a biopharmaceutical company focused on developing and commercializing novel therapies for liver diseases, including nonalcoholic steatohepatitis (NASH) and primary biliary cholangitis (PBC).",2002,Biopharmaceuticals,No,Yes,No,No
INTERDIGITAL CE PATENT HOLDINGS,[Not Available],[Not Available],"InterDigital CE Patent Holdings focuses on managing and licensing patents related to advanced technologies, including telecommunications and digital media.",[Not Available],Intellectual Property / Patents,No,Yes,No,No
INTERIUS BIOTHERAPEUTICS INC,[Not Available],[Not Available],"Interius Biotherapeutics Inc is engaged in developing novel biotherapeutic solutions, focusing on innovative approaches to treating diseases through advanced biological therapies.",[Not Available],Biotherapeutics,No,Yes,Yes,No
INTERPROTEIN CORP,[Not Available],[Not Available],"Interprotein Corp specializes in developing protein-based therapeutics and diagnostics, focusing on innovative approaches to protein science for healthcare applications.",[Not Available],Protein Therapeutics / Diagnostics,No,Yes,No,No
INTERTRUST TECHNOLOGIES CORP,[Not Available],[Not Available],"Intertrust Technologies Corp focuses on digital rights management, data security, and technology solutions that protect and manage digital content and intellectual property.",[Not Available],Digital Rights Management / Data Security,No,Yes,No,No
INTERVET INT BV,[Not Available],[Not Available],"Intervet International BV is involved in the development and production of veterinary vaccines and pharmaceuticals, providing solutions for animal health and disease prevention.",[Not Available],Veterinary Medicine / Pharmaceuticals,No,Yes,No,No
INTHERA INC,[Not Available],[Not Available],"Inthera Inc is a biotechnology company focused on developing innovative therapies for cancer and other serious diseases, utilizing advanced technology and research.",[Not Available],Biotechnology / Cancer Therapy,No,Yes,Yes,No
INTIMA BIOSCIENCE INC,[Not Available],[Not Available],"Intima Bioscience Inc is engaged in bioscience research and development, focusing on creating advanced solutions for immune-related and other medical conditions.",[Not Available],Bioscience / Immune Research,No,Yes,Yes,No
INTRA-CELLULAR THERAPIES INC,https://www.intracellulartherapies.com/,"New York, New York, United States",Intra-Cellular Therapies Inc is a biopharmaceutical company focused on developing innovative treatments for neuropsychiatric and neurological disorders using its proprietary technology platform.,2002,Biopharmaceuticals / Neurology,No,Yes,No,No
INTRA-IMMUSG PRIVATE LTD,[Not Available],[Not Available],"Intra-Immusg Private Ltd specializes in developing and commercializing immune system-related therapies and solutions, focusing on innovative approaches to immunotherapy.",[Not Available],Immunotherapy,No,Yes,Yes,No
INTRAVACC BV,https://www.intravacc.nl/,"Bilthoven, Netherlands","Intravacc BV is a leading vaccine research and development organization, specializing in the development of innovative vaccine technologies and solutions.",2005,Vaccine Research / Development,No,Yes,Yes,No
INTRINSIC MEDICINE INC,[Not Available],[Not Available],"Intrinsic Medicine Inc focuses on developing cutting-edge medical treatments and diagnostics, with an emphasis on personalized medicine and innovative therapeutic approaches.",[Not Available],Medicine / Diagnostics,No,Yes,Yes,No
INTRON BIOTECHNOLOGY CO LTD,[Not Available],[Not Available],"Intron Biotechnology Co. Ltd specializes in biotechnology research and development, focusing on innovative approaches to molecular and cellular biology for medical applications.",[Not Available],Biotechnology,No,Yes,Yes,No
INTROWELL LTD,[Not Available],[Not Available],"Introwell Ltd is focused on developing innovative solutions and technologies for various applications, including healthcare and industrial sectors.",[Not Available],Technology,No,Yes,No,No
INTUIT INC,https://www.intuit.com/,"Mountain View, California, United States","Intuit Inc provides financial software solutions, including TurboTax, QuickBooks, and Mint, aiming to simplify financial management and accounting for individuals and businesses.",1983,Financial Software,No,Yes,No,No
INVECTYS,[Not Available],[Not Available],"Invectys specializes in developing novel immunotherapies and vaccines for cancer and other diseases, focusing on innovative approaches to immune system modulation.",[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
INVENCIONES ROMA SL,[Not Available],[Not Available],"Invenciones Roma SL is involved in developing and commercializing innovative solutions and technologies across various sectors, with a focus on applied research and development.",[Not Available],Technology / Innovation,No,Yes,No,No
INVESTSTONE DOO SKOPJE,[Not Available],"Skopje, North Macedonia","Investstone DOO specializes in investment and development in various sectors, including technology, healthcare, and industrial applications.",[Not Available],Investment / Development,No,Yes,No,No
INVIGATE GMBH,[Not Available],[Not Available],"Invigate GmbH focuses on developing advanced solutions for health and technology sectors, including diagnostics and innovative healthcare products.",[Not Available],Healthcare / Technology,No,Yes,No,No
INVIRSA INC,[Not Available],[Not Available],Invirsa Inc specializes in developing and providing advanced biotechnological solutions and products for healthcare and research applications.,[Not Available],Biotechnology,No,Yes,Yes,No
INVISISHIELD TECHNOLOGIES LTD,[Not Available],[Not Available],"Invisishield Technologies Ltd focuses on developing advanced protective technologies and solutions, including materials and products designed to enhance safety and security.",[Not Available],Protective Technologies,No,Yes,No,No
INVITAE CORP,https://www.invitae.com/,"San Francisco, California, United States","Invitae Corp offers genetic testing services, providing insights into genetic conditions and helping individuals and healthcare providers make informed decisions about health.",2010,Genetic Testing,No,Yes,No,No
INVITES HEALTHCARE CO LTD,[Not Available],[Not Available],"Invites Healthcare Co. Ltd specializes in providing healthcare solutions and services, including medical products and technologies designed to improve patient care.",[Not Available],Healthcare / Medical Technology,No,Yes,No,No
INVIVOSCRIBE INC,https://www.invivoscribe.com/,"San Diego, California, United States","Invivoscribe Inc specializes in providing diagnostic and research products, including molecular diagnostics and laboratory services for personalized medicine and cancer care.",1999,Diagnostics / Molecular Medicine,No,Yes,No,No
INVIVYD INC,[Not Available],[Not Available],"Invivyd Inc is focused on developing novel therapies and technologies in the biotechnology sector, with an emphasis on advancing treatments for various medical conditions.",[Not Available],Biotechnology / Therapeutics,No,Yes,Yes,No
INVIXA INC,[Not Available],[Not Available],"Invixa Inc is involved in developing and commercializing advanced technological solutions, with a focus on innovative products for health and industrial applications.",[Not Available],Technology / Health,No,Yes,No,No
INVOL AMBIENTAL IND & COMERCIO LTDA ME,[Not Available],[Not Available],"Invol Ambiental Ind & Comercio LTDA ME focuses on environmental solutions and technologies, providing products and services aimed at improving environmental management and sustainability.",[Not Available],Environmental Solutions,No,Yes,No,No
IOCURE INC,[Not Available],[Not Available],"Iocure Inc specializes in developing innovative solutions for healthcare and medical applications, focusing on advanced therapeutic and diagnostic technologies.",[Not Available],Healthcare / Medical Technology,No,Yes,Yes,No
ION INJECT TECHNOLOGY LLC,[Not Available],[Not Available],"Ion Inject Technology LLC focuses on developing cutting-edge injection technologies and systems for medical and industrial applications, enhancing precision and efficiency.",[Not Available],Medical Technology / Industrial Technology,No,Yes,No,No
ION KAGAKU YG,[Not Available],[Not Available],"Ion Kagaku YG is involved in the development and commercialization of advanced chemical and biochemical technologies, focusing on innovative applications in science and industry.",[Not Available],Chemical / Biochemical Technology,No,Yes,No,No
ION LIFE KK,[Not Available],[Not Available],"Ion Life KK specializes in biotechnology and medical technologies, providing innovative solutions for health and life sciences applications.",[Not Available],Biotechnology / Medical Technology,No,Yes,No,No
IONEBIO INC,[Not Available],[Not Available],IonEbio Inc focuses on developing advanced bioscience solutions and technologies for medical research and therapeutic applications.,[Not Available],Bioscience / Biotechnology,No,Yes,Yes,No
IONIAN TECHNOLOGIES INC,[Not Available],[Not Available],"Ionian Technologies Inc is involved in creating and commercializing innovative technologies and solutions for various industries, including healthcare and technology sectors.",[Not Available],Technology / Innovation,No,Yes,No,No
IONIS PHARM INC,https://www.ionispharma.com/,"Carlsbad, California, United States","Ionis Pharmaceuticals Inc is a biopharmaceutical company specializing in RNA-targeted drug discovery and development for various medical conditions, including rare diseases and cancer.",1989,Biotechnology / Pharmaceuticals,No,Yes,No,No
IONQ INC,https://ionq.com/,"College Park, Maryland, United States","IonQ Inc develops and commercializes quantum computing technologies, aiming to advance the field of quantum information processing and solve complex computational problems.",2015,Quantum Computing,No,Yes,Yes,No
IONTAS LTD,https://www.iontas.co.uk/,"Cambridge, United Kingdom","IONTAS Ltd specializes in the development of antibody discovery and engineering technologies, providing solutions for therapeutic and diagnostic applications.",2008,Biotechnology / Antibody Engineering,No,Yes,Yes,No
IONTRAP LLC,[Not Available],[Not Available],"IonTrap LLC is involved in developing advanced technologies and systems for ion trapping and related applications, focusing on precision and innovation in scientific research.",[Not Available],Scientific Technology,No,Yes,No,No
IOSBIO LTD,https://www.iosbio.com/,"London, United Kingdom","IOSBio Ltd focuses on developing advanced biosensor technologies and assays for diagnostic applications, including rapid and accurate testing solutions.",[Not Available],Biotechnology / Diagnostics,No,Yes,Yes,No
IOT SHENZHOU NETWORK CO LTD,[Not Available],"Shenzhou, China","IoT Shenzhou Network Co Ltd specializes in developing Internet of Things (IoT) technologies and solutions for various applications, including smart cities and industrial automation.",[Not Available],IoT Technology,No,Yes,No,No
IOT-EX INC,[Not Available],[Not Available],"IoT-EX Inc focuses on providing innovative solutions and technologies in the Internet of Things (IoT) space, aiming to enhance connectivity and functionality across various sectors.",[Not Available],IoT Technology,No,Yes,No,No
IOULIA TSETI,[Not Available],[Not Available],"Ioulia Tseti focuses on various technology and innovation sectors, providing consulting and development services across multiple industries.",[Not Available],Technology Consulting,No,Yes,No,No
IP ISRAEL PATENTS LTD,[Not Available],[Not Available],"IP Israel Patents Ltd specializes in intellectual property services, including patent registration, protection, and management for various innovations and technologies.",[Not Available],Intellectual Property,No,Yes,No,No
IP2IPO INNOVATIONS LTD,[Not Available],[Not Available],"IP2IPO Innovations Ltd focuses on intellectual property commercialization and innovation, providing services and solutions to help businesses leverage their patents and technologies.",[Not Available],Intellectual Property / Innovation,No,Yes,No,No
IPKINECT INNOVATIONS PRIVATE LTD,[Not Available],[Not Available],"IPKinect Innovations Private Ltd focuses on advancing technologies and innovations, providing solutions in various sectors, including healthcare and industrial applications.",[Not Available],Technology / Innovation,No,Yes,No,No
IPMC GROUP ILAC SAN & TIC LTD STI,[Not Available],[Not Available],"IPMC Group Ilac San & Tic Ltd STI specializes in research and development for pharmaceutical and medical products, focusing on innovative solutions and services in healthcare.",[Not Available],Pharmaceuticals / Medical Research,No,Yes,Yes,No
IPRIME THERAPEUTICS CO LTD,[Not Available],[Not Available],"IPrime Therapeutics Co Ltd is dedicated to developing and commercializing novel therapeutic solutions, focusing on innovative treatments for various medical conditions.",[Not Available],Biotechnology / Pharmaceuticals,No,Yes,Yes,No
IPRINTING CO LTD,[Not Available],[Not Available],"IPrinting Co Ltd specializes in printing technologies and services, focusing on advanced printing solutions for industrial and commercial applications.",[Not Available],Printing Technology,No,Yes,No,No
IPRONA AG SPA,[Not Available],[Not Available],"IProna AG Spa is involved in developing and manufacturing specialized products, including those for healthcare and medical applications, focusing on innovation and quality.",[Not Available],Pharmaceuticals / Healthcare,No,Yes,No,No
IPSUM LIFESCI LLP,[Not Available],[Not Available],"Ipsum LifeSci LLP specializes in providing research and development services in the life sciences sector, focusing on drug discovery, diagnostics, and therapeutic solutions.",[Not Available],Life Sciences / Biotechnology,No,Yes,Yes,No
IPT INST PESQUISAS TECNOLOGICAS DO ESTAD,[Not Available],[Not Available],"IPT Inst Pesquisas Tecnologicas Do Estad focuses on technological research and development, providing solutions and innovations in various industrial and scientific fields.",[Not Available],Research / Technology,No,No,Yes,No
IQ SCI LTD,[Not Available],[Not Available],"IQ Sci Ltd is involved in scientific research and development, providing innovative solutions and technologies for various applications in science and industry.",[Not Available],Scientific Research / Technology,No,Yes,No,No
IRAZU BIO LLC,[Not Available],[Not Available],"Irazu Bio LLC focuses on developing advanced biotechnological solutions and products, including novel therapies and diagnostic tools for healthcare applications.",[Not Available],Biotechnology / Healthcare,No,Yes,Yes,No
IRB BIOMEDICINE RES INST,[Not Available],[Not Available],"IRB Biomedicine Res Inst specializes in biomedical research and development, focusing on advancing knowledge and technologies in the field of medicine and therapeutics.",[Not Available],Biomedical Research,No,No,Yes,No
IRD INST RECH DEV,[Not Available],[Not Available],"IRD Inst Rech Dev focuses on research and development in various scientific and technological fields, providing innovative solutions and advancements.",[Not Available],Research & Development,No,No,Yes,No
IRENIX MEDICAL INC,[Not Available],[Not Available],"Irenix Medical Inc specializes in developing medical technologies and devices, focusing on improving patient care and clinical outcomes through innovation.",[Not Available],Medical Devices / Healthcare,No,Yes,No,No
