Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic)
PUCKSRUS INC,[Not Available],[Not Available],PucksRUs Inc focuses on sports and recreational products.,[Not Available],Sports Equipment,No,Yes,No,No
PULMOCURES ILAC EGITIM DANISMANLIK AS,[Not Available],[Not Available],Pulmocures Ilac Egitim Danismanlik AS focuses on pharmaceutical and educational services in Turkey.,[Not Available],"Pharmaceuticals, Consulting",No,Yes,No,No
PULMONEM INC,[Not Available],[Not Available],Pulmonem Inc specializes in developing therapies for pulmonary diseases.,[Not Available],"Biotechnology, Therapeutics",No,Yes,No,No
PULMOQUINE THERAPEUTICS INC,[Not Available],[Not Available],Pulmoquine Therapeutics Inc focuses on developing treatments for respiratory diseases.,[Not Available],"Biotechnology, Respiratory Therapeutics",No,Yes,No,No
PULVIS BET-GMBH,[Not Available],[Not Available],Pulvis Bet-GmbH is involved in pharmaceuticals and biotechnology.,[Not Available],"Pharmaceuticals, Biotechnology",No,Yes,No,No
PURDUE PHARMA LP,https://www.purduepharma.com,"Stamford, Connecticut, USA",Purdue Pharma LP develops and manufactures pharmaceutical products.,1892,Pharmaceuticals,No,Yes,No,No
PURDUE RES FOUND,https://www.purdue.edu,"West Lafayette, Indiana, USA",Purdue Research Foundation supports research and innovation at Purdue University.,1930,"Research, Innovation",No,No,Yes,No
PURE PROTEIN LLC,[Not Available],[Not Available],Pure Protein LLC focuses on the development of protein-based supplements and products.,[Not Available],"Biotechnology, Supplements",No,Yes,No,No
PURE TECH LYT 100 INC,[Not Available],[Not Available],Pure Tech LYT 100 Inc specializes in innovative technologies and research.,[Not Available],Technology,No,Yes,No,No
PURECODON HONG KONG BIOPHARMA LTD,[Not Available],[Not Available],Purecodon Hong Kong Biopharma Ltd focuses on biopharmaceutical research and development.,[Not Available],Biopharmaceuticals,No,Yes,No,No
PURETECH HEALTH LLC,https://www.puretechhealth.com,"Boston, Massachusetts, USA",PureTech Health LLC is a biopharmaceutical company focused on developing innovative therapies.,2005,"Biotechnology, Pharmaceuticals",No,Yes,No,No
QINGDAO NIXIMI BIOTECHNOLOGY CO LTD,[Not Available],"Qingdao, China",Qingdao Niximi Biotechnology Co Ltd focuses on biotechnological advancements and product development.,[Not Available],Biotechnology,No,Yes,No,No
QINGDAO PONY MEDICAL LAB CO LTD,[Not Available],"Qingdao, China",Qingdao Pony Medical Lab Co Ltd specializes in medical laboratory services and diagnostics.,[Not Available],Medical Diagnostics,No,Yes,No,No
QINGDAO SHUOJING BIOTECHNOLOGY CO LTD,[Not Available],"Qingdao, China",Qingdao Shuojing Biotechnology Co Ltd focuses on biotechnology research and product development.,[Not Available],Biotechnology,No,Yes,No,No
QINGDAO TANWEI BIOTECHNOLOGY CO LTD,[Not Available],"Qingdao, China",Qingdao Tanwei Biotechnology Co Ltd specializes in biotechnological innovations and applications.,[Not Available],Biotechnology,No,Yes,No,No
QINGDAO WOMEN & CHILDRENS HOSPITAL,[Not Available],"Qingdao, China",Qingdao Women & Children's Hospital provides medical services for women and children.,[Not Available],Healthcare,No,No,No,Yes
QINGDAO YIENFANG ENERGY ENVIRONMENTAL,[Not Available],"Qingdao, China",Qingdao Yienfang Energy Environmental focuses on energy and environmental solutions.,[Not Available],"Energy, Environmental Solutions",No,Yes,No,No
QINGHAI ALTIMERIT BIOTECH CO LTD,[Not Available],"Qinghai, China",Qinghai Altimerit Biotech Co Ltd focuses on biotech research and product development.,[Not Available],Biotechnology,No,Yes,No,No
QINGHUA DEREN XIAN XINGFU PHARMACY CO LT,[Not Available],"Qinghua, China",Qinghua Deren Xian Xingfu Pharmacy Co Ltd operates in the pharmaceutical industry.,[Not Available],Pharmaceuticals,No,Yes,No,No
QINGHUA DEREN XIAN XINGFU PHARMACY CO LTD,[Not Available],"Qinghua, China",Qinghua Deren Xian Xingfu Pharmacy Co Ltd operates in the pharmaceutical industry.,[Not Available],Pharmaceuticals,No,Yes,No,No
QINGYUAN BIOLOGICAL JIANGSU CO LTD,[Not Available],"Qingyuan, Jiangsu, China",Qingyuan Biological Jiangsu Co Ltd specializes in biological and biotechnological products.,[Not Available],Biotechnology,No,Yes,No,No
QINHUANGDAO JIEKANGSHI ELECTRONIC TECHNO,[Not Available],"Qinhuangdao, China",Qinhuangdao Jiekangshi Electronic Technology focuses on electronic technologies and solutions.,[Not Available],"Electronics, Technology",No,Yes,No,No
QINHUANGDAO MODENGGOU BIOTECHNOLOGY CO,[Not Available],"Qinhuangdao, China",Qinhuangdao Modenggou Biotechnology Co focuses on biotech product development and research.,[Not Available],Biotechnology,No,Yes,No,No
QINYUAN REGENERATIVE MEDICINE ZHUHAI CO,[Not Available],"Zhuhai, China",Qinyuan Regenerative Medicine Zhuhai Co focuses on regenerative medicine and therapeutic technologies.,[Not Available],"Biotechnology, Regenerative Medicine",No,Yes,No,No
QINZHOU HOSPITAL TRADITIONAL CHINESE MED,[Not Available],"Qinzhou, China",Qinzhou Hospital Traditional Chinese Medicine provides traditional Chinese medicine services.,[Not Available],Healthcare,No,No,No,Yes
QIYI PLATFORM CO LTD,[Not Available],[Not Available],Qiyi Platform Co Ltd operates in the digital media and technology sector.,[Not Available],"Media, Technology",No,Yes,No,No
QNOVIA INC,[Not Available],[Not Available],Qnovia Inc focuses on developing novel therapies and medical products.,[Not Available],"Biotechnology, Pharmaceuticals",No,Yes,No,No
QUADRAM BIOSCIENCE INST,https://www.quadram.ac.uk,"Norwich, United Kingdom","Quadram Institute focuses on research in food, gut, and health sciences.",2016,"Research, Healthcare",No,No,Yes,No
QUADRUCEPT BIO LTD,[Not Available],[Not Available],Quadrucept Bio Ltd focuses on biotechnology and drug development.,[Not Available],Biotechnology,No,Yes,No,No
QUALIGEN INC,https://www.qualigeninc.com,"San Diego, California, USA",Qualigen Inc develops and commercializes diagnostic and therapeutic products.,1996,"Biotechnology, Diagnostics",No,Yes,No,No
QUALIZYME DIAGNOSTICS GMBH & CO KG,[Not Available],[Not Available],Qualizyme Diagnostics specializes in diagnostic testing technologies.,[Not Available],Diagnostics,No,Yes,No,No
QUALTEC CO LTD,[Not Available],[Not Available],Qualtec Co Ltd focuses on quality control and testing technologies.,[Not Available],"Testing, Quality Control",No,Yes,No,No
QUANGEL-BIO CO LTD,[Not Available],[Not Available],Quangel-Bio Co Ltd specializes in biotechnological research and development.,[Not Available],Biotechnology,No,Yes,No,No
QUANTA VISION CO LTD,[Not Available],[Not Available],Quanta Vision Co Ltd focuses on vision-related technologies and solutions.,[Not Available],Vision Technologies,No,Yes,No,No
QUANTAIRA INC,[Not Available],[Not Available],Quantaira Inc specializes in quantum computing and related technologies.,[Not Available],"Technology, Quantum Computing",No,Yes,No,No
QUANTBIORES AS,[Not Available],[Not Available],Quantbiores AS focuses on quantitative biosciences and related research.,[Not Available],Biotechnology,No,Yes,No,No
QUANTEC LTD,[Not Available],[Not Available],Quantec Ltd is involved in quantitative research and technology solutions.,[Not Available],"Research, Technology",No,Yes,No,No
QUANTERIX CORP,https://www.quanterix.com,"Lexington, Massachusetts, USA",Quanterix Corp develops ultra-sensitive digital immunoassays to improve the diagnosis and monitoring of diseases.,2007,"Biotechnology, Diagnostics",No,Yes,No,No
QUANTIPHI INC,[Not Available],[Not Available],Quantiphi Inc focuses on data science and artificial intelligence solutions.,[Not Available],"Technology, AI",No,Yes,No,No
QUANTUM MATERIALS CORP,https://www.quantummaterials.com,"Austin, Texas, USA",Quantum Materials Corp specializes in quantum dot technology for various applications.,2009,"Nanotechnology, Quantum Materials",No,Yes,No,No
QUANTUMDX GROUP CO LTD,https://www.quantumdx.com,"Newcastle upon Tyne, United Kingdom",QuantumDX Group focuses on developing diagnostic solutions for rapid and accurate disease detection.,2005,"Biotechnology, Diagnostics",No,Yes,No,No
QUANZHOU XUNLU INFORMATION TECHNOLOGY CO LTD,[Not Available],"Quanzhou, China",Quanzhou Xunlu Information Technology Co Ltd focuses on information technology and software solutions.,[Not Available],Information Technology,No,Yes,No,No
QUBIT PHARM,[Not Available],[Not Available],Qubit Pharm specializes in pharmaceutical research and drug development.,[Not Available],Pharmaceuticals,No,Yes,No,No
QUEENSLAND INST MEDICAL RES,https://www.qimrberghofer.edu.au,"Brisbane, Queensland, Australia",Queensland Institute of Medical Research (QIMR) conducts medical research to improve health outcomes.,1945,"Research, Healthcare",No,No,Yes,No
QUIDEL CORP,https://www.quidel.com,"San Diego, California, USA","Quidel Corp provides diagnostic solutions for infectious diseases, cardiology, and other healthcare needs.",1979,"Diagnostics, Healthcare",No,Yes,No,No
QUIFARMEDICAL CO SAS,[Not Available],[Not Available],Quifarmedical Co SAS focuses on medical device manufacturing and diagnostics.,[Not Available],"Medical Devices, Diagnostics",No,Yes,No,No
QUIMICA LUAR SRL,[Not Available],[Not Available],Quimica Luar SRL operates in the chemical and pharmaceutical industries.,[Not Available],"Chemicals, Pharmaceuticals",No,Yes,No,No
QUNZHIWEILAI ARTIFICIAL INTELLIGENCE TEC,[Not Available],[Not Available],Qunzhiweilai Artificial Intelligence Tech focuses on AI technology and applications.,[Not Available],Artificial Intelligence,No,Yes,No,No
QUORUM INNOVATIONS LLC,[Not Available],[Not Available],Quorum Innovations LLC specializes in innovative biotechnology solutions.,[Not Available],Biotechnology,No,Yes,No,No
QUR MEDICAL APS,[Not Available],[Not Available],QUR Medical APS focuses on medical research and development.,[Not Available],"Healthcare, Medical Research",No,Yes,No,No
QURATIS INC,[Not Available],[Not Available],QURATIS Inc specializes in medical research and drug development.,[Not Available],"Pharmaceuticals, Biotechnology",No,Yes,No,No
QURE AI TECHNOLOGIES PRIVATE LTD,https://www.qure.ai,"Mumbai, India",Qure AI Technologies develops AI solutions for medical imaging and diagnostics.,2016,"Artificial Intelligence, Healthcare",No,Yes,No,No
QUSHELL LLC,[Not Available],[Not Available],Qushell LLC focuses on biotechnology and healthcare solutions.,[Not Available],"Biotechnology, Healthcare",No,Yes,No,No
QVET,[Not Available],[Not Available],QVet specializes in veterinary diagnostics and health solutions.,[Not Available],Veterinary Medicine,No,Yes,No,No
QVET CO LTD,[Not Available],[Not Available],QVet Co Ltd provides veterinary diagnostic products and services.,[Not Available],Veterinary Medicine,No,Yes,No,No
QX THERAPEUTICS INC,[Not Available],[Not Available],QX Therapeutics Inc focuses on developing therapeutic solutions for various medical conditions.,[Not Available],Pharmaceuticals,No,Yes,No,No
R & F CHEM LTD,[Not Available],[Not Available],R & F Chem Ltd is involved in chemical manufacturing and research.,[Not Available],Chemicals,No,Yes,No,No
R & L CONNECTIONS,[Not Available],[Not Available],R & L Connections specializes in networking and connectivity solutions.,[Not Available],"Technology, Networking",No,Yes,No,No
R & R THERAPEUTICS INC,[Not Available],[Not Available],R & R Therapeutics Inc focuses on therapeutic product development.,[Not Available],Pharmaceuticals,No,Yes,No,No
R-PHARM OVERSEAS INC,http://www.r-pharm.com,"Moscow, Russia",R-Pharm Overseas Inc develops and manufactures pharmaceuticals.,2001,Pharmaceuticals,No,Yes,No,No
RADHIKA AYURVEDA RES & DEV,[Not Available],[Not Available],Radhika Ayurveda Research & Development focuses on Ayurvedic medicine and research.,[Not Available],"Ayurveda, Healthcare",No,Yes,No,No
RADIANQBIO CO LTD,[Not Available],[Not Available],RadianQBio Co Ltd specializes in biopharmaceutical research and development.,[Not Available],"Biotechnology, Pharmaceuticals",No,Yes,No,No
RADICAL CLEAN SOLUTIONS LTD,[Not Available],[Not Available],Radical Clean Solutions Ltd provides cleaning and disinfection solutions.,[Not Available],Cleaning Solutions,No,Yes,No,No
RADINOR LLC,[Not Available],[Not Available],Radinor LLC focuses on diagnostic technologies and solutions.,[Not Available],Diagnostics,No,Yes,No,No
RADIOLIFE CO,[Not Available],[Not Available],Radiolife Co focuses on radiology and imaging solutions.,[Not Available],"Radiology, Imaging",No,Yes,No,No
RADIOLOGY NAT MEDICAL RES CENT,[Not Available],[Not Available],Radiology Nat Medical Research Center focuses on research in radiology and medical imaging.,[Not Available],"Radiology, Research",No,No,Yes,No
RADMIT INC,[Not Available],[Not Available],Radmit Inc specializes in medical and diagnostic technology.,[Not Available],Medical Technology,No,Yes,No,No
RAFAEL BIOTECHNOLOGY CO LTD,[Not Available],[Not Available],Rafael Biotechnology Co Ltd focuses on biotechnological research and product development.,[Not Available],Biotechnology,No,Yes,No,No
RAJANA,[Not Available],[Not Available],Rajana specializes in pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,No,No
RAM MEDICAL CORP LLC,[Not Available],[Not Available],RAM Medical Corp LLC focuses on medical product development and distribution.,[Not Available],Medical Devices,No,Yes,No,No
RAM THZ SOLUTIONS PTE LTD,[Not Available],[Not Available],RAM THZ Solutions Pte Ltd specializes in technology solutions and services.,[Not Available],Technology,No,Yes,No,No
RAMCO TECHNOLOGY INST,[Not Available],[Not Available],Ramco Technology Institute focuses on technology research and development.,[Not Available],Technology,No,No,Yes,No
RAMGEN ZARTKOERUEN MUKOEDO RESZVENYTARSASAG,[Not Available],[Not Available],Ramgen Zartkoeruen Mukoedon specializes in biotechnology and related research.,[Not Available],Biotechnology,No,Yes,No,No
RAMKUMAR M,[Not Available],[Not Available],Ramkumar M is involved in research and development in various scientific fields.,[Not Available],Research,No,No,No,No
RANDOX LAB LTD,https://www.randox.com,"Crumlin, Northern Ireland",Randox Laboratories provides diagnostic products and solutions for a variety of medical conditions.,1982,"Diagnostics, Healthcare",No,Yes,No,No
RANDOX TEORANTA,[Not Available],[Not Available],Randox Teoranta focuses on the development and manufacturing of diagnostic products.,[Not Available],Diagnostics,No,Yes,No,No
RAPA THERAPEUTICS LLC,[Not Available],[Not Available],Rapa Therapeutics LLC focuses on developing therapeutic solutions for various health conditions.,[Not Available],Pharmaceuticals,No,Yes,No,No
RAPHAS CO LTD,[Not Available],[Not Available],Raphas Co Ltd is involved in biotechnology and related research.,[Not Available],Biotechnology,No,Yes,No,No
RAPID AID CORP,[Not Available],[Not Available],Rapid Aid Corp specializes in medical and emergency solutions.,[Not Available],"Medical, Emergency Services",No,Yes,No,No
RAPID MEDICAL PARTS INC,[Not Available],[Not Available],Rapid Medical Parts Inc provides medical parts and components.,[Not Available],Medical Equipment,No,Yes,No,No
RAPID PATHOGEN SCREENING INC,[Not Available],[Not Available],Rapid Pathogen Screening Inc specializes in pathogen detection technologies.,[Not Available],"Diagnostics, Pathogen Detection",No,Yes,No,No
RAPID VIRAL DETECTION SYSTEMS LLC,[Not Available],[Not Available],Rapid Viral Detection Systems LLC focuses on viral detection and diagnostics.,[Not Available],"Diagnostics, Virology",No,Yes,No,No
RAPO YERAPE BH LTD,[Not Available],[Not Available],Rapo Yerape BH Ltd specializes in biotechnology and healthcare solutions.,[Not Available],"Biotechnology, Healthcare",No,Yes,No,No
RAQUALIA PHARMA INC,http://www.raqualia.com,"Nagoya, Japan",Raqualia Pharma Inc is focused on drug discovery and development.,2008,Pharmaceuticals,No,Yes,No,No
RATIONAL VACCINES INC,[Not Available],[Not Available],Rational Vaccines Inc develops innovative vaccines for infectious diseases.,[Not Available],"Biotechnology, Vaccines",No,Yes,No,No
RAYBIOTECH LIFE INC,[Not Available],[Not Available],Raybiotech Life Inc specializes in biotechnology and life sciences research.,[Not Available],"Biotechnology, Life Sciences",No,Yes,No,No
RAYDEL KOREA CO LTD,[Not Available],[Not Available],Raydel Korea Co Ltd focuses on biotechnological and medical products.,[Not Available],"Biotechnology, Medical Products",No,Yes,No,No
RAYKOL BIOCHEMICAL TECHNOLOGY GUANGZHOU CO LTD,[Not Available],"Guangzhou, China",Raykol Biochemical Technology specializes in biochemical technology and products.,[Not Available],"Biotechnology, Biochemical Technology",No,Yes,No,No
RAYNERGY TEK INC,[Not Available],[Not Available],Raynergy Tek Inc focuses on advanced technology solutions and research.,[Not Available],Technology,No,Yes,No,No
RAYSUN PLASMA TECHNOLOGY HANGZHOU CO LTD,[Not Available],"Hangzhou, China",Raysun Plasma Technology specializes in plasma technology applications.,[Not Available],Plasma Technology,No,Yes,No,No
RAYTHEON BBN TECHNOLOGIES CORP,https://www.bbn.com,"Cambridge, MA, USA",Raytheon BBN Technologies Corp is a research and development company specializing in advanced technology solutions.,1980,"Technology, Defense",No,Yes,Yes,No
RAYTRILOGY INC,[Not Available],[Not Available],Raytrilogy Inc focuses on biotechnology and therapeutic solutions.,[Not Available],"Biotechnology, Pharmaceuticals",No,Yes,No,No
RCX INVESTIMENTOS TECNOLOGIA & MEIOS PAG,[Not Available],[Not Available],RCX Investimentos Tecnologia & Meios Pag specializes in technology investments and solutions.,[Not Available],"Technology, Investments",No,Yes,No,No
RDP PHARMA AG,[Not Available],[Not Available],RDP Pharma AG specializes in pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,No,No
REACTIVE SURFACES LTD LLP,[Not Available],[Not Available],Reactive Surfaces Ltd LLP specializes in surface technology and materials.,[Not Available],"Technology, Surface Engineering",No,Yes,No,No
READILY AB,[Not Available],[Not Available],Readily AB focuses on healthcare solutions and diagnostics.,[Not Available],"Healthcare, Diagnostics",No,Yes,No,No
READYGO DIAGNOSTICS LTD,[Not Available],[Not Available],ReadyGo Diagnostics Ltd specializes in diagnostic solutions and products.,[Not Available],Diagnostics,No,Yes,No,No
REAGENE BIOSCI PVT LTD,[Not Available],[Not Available],Reagene Biosci Pvt Ltd is involved in biotechnology research and product development.,[Not Available],Biotechnology,No,Yes,No,No
REAGENE INNOVATIONS PVT LTD,[Not Available],[Not Available],Reagene Innovations Pvt Ltd focuses on innovative biotechnology solutions.,[Not Available],Biotechnology,No,Yes,No,No
REALTEK SEMICONDUCTOR CORP,https://www.realtek.com,"Hsinchu, Taiwan",Realtek Semiconductor Corp develops and produces semiconductor solutions for various electronic devices.,1987,Semiconductors,No,Yes,No,No
REATA PHARM HOLDINGS LLC,https://www.reatapharma.com,"Irving, TX, USA",Reata Pharmaceuticals focuses on developing therapies for serious diseases.,2002,Pharmaceuticals,No,Yes,No,No
REATA PHARM INC,https://www.reatapharma.com,"Irving, TX, USA",Reata Pharmaceuticals Inc is engaged in the development of therapeutic solutions for serious diseases.,2002,Pharmaceuticals,No,Yes,No,No
REBECCA FOODSYSTEM CO LTD,[Not Available],[Not Available],Rebecca Foodsystem Co Ltd focuses on food technologies and related solutions.,[Not Available],Food Technology,No,Yes,No,No
RECERCA BIOMEDICA LLEIDA FUNDACIO PIFARR,http://www.pifarr.org,"Lleida, Spain",Recerca Biomedica Lleida Fundacio Pifarr focuses on biomedical research and development.,[Not Available],Biomedical Research,No,No,Yes,No
RECKITT BENCKISER HEALTH LTD,https://www.reckitt.com,"Slough, UK",Reckitt Benckiser Health Ltd provides health and hygiene products and solutions.,1823,"Consumer Goods, Healthcare",No,Yes,No,No
RECO2VERY THERAPIES GMBH,[Not Available],[Not Available],RECO2VERY Therapies focuses on developing therapies for various health conditions.,[Not Available],"Pharmaceuticals, Biotechnology",No,Yes,No,No
RECOGNITION ANALYTIX INC,[Not Available],[Not Available],Recognition Analytix Inc specializes in data analytics and recognition solutions.,[Not Available],Data Analytics,No,Yes,No,No
RECOMBINE BIOTECNOLOGIA LTDA,[Not Available],[Not Available],Recombin Biotecnologia LTDA focuses on biotechnological innovations and products.,[Not Available],Biotechnology,No,Yes,No,No
RECOMBITECH CO LTD,[Not Available],[Not Available],RecombiTech Co Ltd is involved in biotechnology and technical solutions.,[Not Available],Biotechnology,No,Yes,No,No
RECOVERY THERAPEUTICS INC,[Not Available],[Not Available],Recovery Therapeutics Inc develops therapeutic solutions for health recovery.,[Not Available],Pharmaceuticals,No,Yes,No,No
RECURIUM IP HOLDINGS LLC,[Not Available],[Not Available],Recurium IP Holdings LLC focuses on intellectual property in biotechnology and related fields.,[Not Available],Intellectual Property,No,Yes,No,No
RENKUI PHARM TECHNOLOGY BEIJING CO LTD,[Not Available],"Beijing, China",Renkui Pharm Technology specializes in pharmaceutical technology and products.,[Not Available],Pharmaceuticals,No,Yes,No,No
RENOVION INC,https://renovion.com,"Durham, NC, USA",Renovion Inc develops novel therapies for respiratory diseases.,[Not Available],"Pharmaceuticals, Respiratory",No,Yes,No,No
RENQIU AORUN HEATING EQUIP CO LTD,[Not Available],"Renqiu, China",Renqiu Aorun Heating Equip specializes in heating equipment and technology.,[Not Available],Heating Equipment,No,Yes,No,No
REOPEN DIAGNOSTICS LLC,[Not Available],[Not Available],Reopen Diagnostics LLC focuses on diagnostic technologies and solutions.,[Not Available],Diagnostics,No,Yes,No,No
REPERTOIRE IMMUNE MEDICINES INC,[Not Available],[Not Available],Repertoire Immune Medicines Inc specializes in immune system-related therapeutic solutions.,[Not Available],Immunotherapy,No,Yes,No,No
REPLICARE LLC,[Not Available],[Not Available],Replicate LLC focuses on biotechnology and related research.,[Not Available],Biotechnology,No,Yes,No,No
REPUBLIC KOREA ANIMAL & PLANT QUARANTINE,[Not Available],[Not Available],Republic Korea Animal & Plant Quarantine focuses on quarantine services for animals and plants.,[Not Available],Quarantine Services,Yes,No,No,No
REPUBLIC KOREA ARMED FORCES MEDICAL COMMAND,[Not Available],[Not Available],Republic Korea Armed Forces Medical Command provides medical services to the armed forces.,[Not Available],Military Medicine,Yes,No,No,Yes
REPUBLIC KOREA CENT DISEASE CONTROL,[Not Available],[Not Available],Republic Korea Center for Disease Control focuses on disease prevention and control.,[Not Available],Public Health,Yes,No,No,No
REPURE LIFE SCI INC,[Not Available],[Not Available],Repure Life Sci Inc specializes in life sciences and health solutions.,[Not Available],Life Sciences,No,Yes,No,No
REQBIO SHANGHAI BIOSCIENCES CO LTD,[Not Available],"Shanghai, China",ReqBio Shanghai Biosciences focuses on biosciences and biotechnology research.,[Not Available],"Biotechnology, Biosciences",No,Yes,No,No
REQUIMTE REDE QUIMICA & TECNOLOGIA ASSOC,http://www.requimte.pt,"Lisbon, Portugal",Requimte is an association dedicated to chemical and technological research.,[Not Available],Chemical Research,No,No,Yes,No
RES & PRODN CO LLC,[Not Available],[Not Available],RES & ProdN Co LLC focuses on production and industrial solutions.,[Not Available],Industrial Production,No,Yes,No,No
RES CANCER INST AMERICA,[Not Available],[Not Available],RES Cancer Institute America focuses on cancer research and treatment.,[Not Available],Oncology,No,Yes,No,Yes
RES CENT JUELICH GMBH,https://www.fz-juelich.de,"JÃ¼lich, Germany","Forschungszentrum JÃ¼lich is a research center specializing in health, energy, and information technology.",1965,"Research, Technology",No,No,Yes,No
RES CENT JUELICH GMBH,https://www.fz-juelich.de,"JÃ¼lich, Germany","Forschungszentrum JÃ¼lich is a research center specializing in health, energy, and information technology.",1965,"Research, Technology",No,No,Yes,No
RES FOUND MENTAL HYGIENE INC,[Not Available],[Not Available],Res Found Mental Hygiene Inc focuses on mental health research and solutions.,[Not Available],Mental Health,No,Yes,No,Yes
RES INST AT NATIONWIDE CHILDREN'S HOSPIT,https://www.nationwidechildrens.org,"Columbus, OH, USA",Research Institute at Nationwide Children's Hospital focuses on pediatric research.,[Not Available],Pediatric Research,No,No,Yes,No
RES INST FORESTRY CHINESE ACAD FORESTRY,http://www.caf.ac.cn,"Beijing, China","Research Institute of Forestry, Chinese Academy of Forestry focuses on forestry research.",[Not Available],Forestry Research,Yes,No,Yes,No
RES ORG INFORMATION & SYSTEMS,[Not Available],[Not Available],RES Org Information & Systems specializes in information and system solutions.,[Not Available],Information Systems,No,Yes,No,No
RES TRIANGLE INST,https://www.triangle.org,"Durham, NC, USA",The Triangle Institute focuses on scientific research and development.,[Not Available],Research,No,No,Yes,No
RESBIOTIC NUTRITION INC,[Not Available],[Not Available],Resbiotic Nutrition Inc focuses on nutritional solutions and research.,[Not Available],Nutrition,No,Yes,No,No
RESMED PTY LTD,https://www.resmed.com,"Sydney, Australia",ResMed Pty Ltd specializes in equipment related to sleep disorders and respiratory conditions.,1989,Medical Devices,No,Yes,No,No
RESMED SENSOR TECHNOLOGIES LTD,[Not Available],[Not Available],ResMed Sensor Technologies specializes in sensor technology for medical applications.,[Not Available],Medical Devices,No,Yes,No,No
RESONAC CORP,https://www.resonac.com,"Tokyo, Japan",Resonac Corp focuses on chemical and material solutions.,2000,"Chemicals, Materials",No,Yes,No,No
RESONAC KK,https://www.resonac.com,"Tokyo, Japan",Resonac KK is involved in the chemical and material industries.,[Not Available],"Chemicals, Materials",No,Yes,No,No
RESPIRADIGM PTY LTD,https://www.respiradigm.com,"Sydney, Australia",Respiradigm Pty Ltd focuses on respiratory diagnostics and solutions.,[Not Available],Respiratory Diagnostics,No,Yes,No,No
RESPIROGEN INC,https://www.respiragen.com,"Philadelphia, PA, USA",Respirogen Inc specializes in respiratory therapies.,[Not Available],Pharmaceuticals,No,Yes,No,No
RETROLEAD SHANGHAI BIOPHARMA CO LTD,[Not Available],"Shanghai, China",RetroLead Shanghai Biopharma Co Ltd focuses on biopharmaceutical research.,[Not Available],Biopharmaceuticals,No,Yes,No,No
REVCELL CO LTD,[Not Available],[Not Available],RevCell Co Ltd focuses on cell therapy and regenerative medicine.,[Not Available],Biotechnology,No,Yes,No,No
REVEALLE KK,[Not Available],[Not Available],Revealle KK specializes in diagnostic and therapeutic solutions.,[Not Available],Diagnostics,No,Yes,No,No
REVELATION BIOSCI INC,[Not Available],[Not Available],Revelation Biosci Inc focuses on biosciences and therapeutic solutions.,[Not Available],Biotechnology,No,Yes,No,No
REVEN PHARM INC,[Not Available],[Not Available],Reven Pharm Inc specializes in pharmaceutical products and research.,[Not Available],Pharmaceuticals,No,Yes,No,No
REVERSE PHAH LLC,[Not Available],[Not Available],Reverse PHah LLC focuses on pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,No,No
REVIR INC,[Not Available],[Not Available],Revir Inc specializes in biotechnological and pharmaceutical solutions.,[Not Available],"Biotechnology, Pharmaceuticals",No,Yes,No,No
REVIVE THERAPEUTICS LTD,https://www.revivethera.com,"Toronto, Canada",Revive Therapeutics Ltd develops innovative therapies for various health conditions.,[Not Available],Pharmaceuticals,No,Yes,No,No
REWIRE NEURO INC,[Not Available],[Not Available],Rewire Neuro Inc focuses on neurotechnology and therapeutic solutions.,[Not Available],Neurotechnology,No,Yes,No,No
REYON PHARM CO LTD,[Not Available],[Not Available],Reyon Pharm Co Ltd focuses on pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,No,No
REYOUNG PHARMACEUTICAL CO,[Not Available],[Not Available],Reyoung Pharmaceutical Co specializes in pharmaceutical products.,[Not Available],Pharmaceuticals,No,Yes,No,No
REZOLUTE INC,https://www.rezolutebio.com,"Denver, CO, USA",Rezolute Inc focuses on developing therapies for metabolic diseases.,[Not Available],Biotechnology,No,Yes,No,No
RF CO LTD,[Not Available],[Not Available],RF Co Ltd specializes in various industrial and technological solutions.,[Not Available],Technology,No,Yes,No,No
RF TECHNO JAPAN CO LTD,[Not Available],[Not Available],RF Techno Japan Co Ltd focuses on technology solutions and innovations.,[Not Available],Technology,No,Yes,No,No
RFDESIGN PTY LTD,[Not Available],[Not Available],RFDESIGN PTY LTD specializes in design and consulting services.,[Not Available],"Design, Consulting",No,Yes,No,No
RGCC HOLDINGS AG,https://www.rgcc-group.com,"Zug, Switzerland",RGCC Holdings AG focuses on genetic and cellular diagnostics.,[Not Available],Biotechnology,No,Yes,No,No
RHAZES SRL,[Not Available],[Not Available],Rhazes SRL specializes in pharmaceutical and medical solutions.,[Not Available],Pharmaceuticals,No,Yes,No,No
RHEA GENETICS PTE LTD,https://www.rheagenetics.com,Singapore,Rhea Genetics PTE Ltd specializes in genetic testing and diagnostics.,[Not Available],"Genetics, Diagnostics",No,Yes,No,No
RHEA INNOVATIONS SRL,[Not Available],[Not Available],Rhea Innovations SRL focuses on innovation in biotechnology and pharmaceuticals.,[Not Available],"Biotechnology, Pharmaceuticals",No,Yes,No,No
