Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic),Institution Name
AVALON GLOBOCARE CORP,[Not Available],United States,"A biotechnology company focused on advancing cell-based technologies, precision diagnostics, and regenerative therapeutics, with a strong emphasis on innovative healthcare solutions.",[Not Available],Biotechnology and Regenerative Medicine,No,Yes,Yes,No,
AVALYN PHARMA INC,[Not Available],United States,"A biopharmaceutical company dedicated to developing therapies for patients with severe respiratory diseases, including idiopathic pulmonary fibrosis (IPF) and other lung disorders.",[Not Available],Biopharmaceuticals and Respiratory Diseases,No,Yes,Yes,No,
AVANCE PHYTOTHERAPIES PVT LTD,[Not Available],India,"A company focused on the research, development, and commercialization of phytotherapeutic products, offering natural remedies and supplements based on traditional medicinal plants.",[Not Available],Pharmaceuticals and Phytotherapy,No,Yes,Yes,No,
AVANTAJ STRATEJIK ILETISIM SISTEMLERI,[Not Available],Turkey,"A company specializing in strategic communication systems, providing services and solutions for public relations, corporate communication, and media management across various industries.",[Not Available],Communication and Media,No,Yes,No,No,
AVANTGEN INC,[Not Available],United States,"A biotechnology company focusing on antibody discovery and development, providing services and solutions for generating high-affinity, fully human antibodies for therapeutic and diagnostic use.",[Not Available],Biotechnology and Antibody Development,No,Yes,Yes,No,
AVANZARE INNOVACION TECNOLOGICA SL,[Not Available],Spain,"A company specializing in the development and production of nanomaterials, advanced materials, and conductive inks, offering innovative solutions for electronics, automotive, and aerospace industries.",[Not Available],Nanotechnology and Advanced Materials,No,Yes,Yes,No,
AVECOM NV,[Not Available],Belgium,"A company focused on microbial resource management, providing innovative solutions for sustainable waste treatment, environmental restoration, and bio-based product development.",[Not Available],Environmental Biotechnology,No,Yes,Yes,No,
AVECTAS LTD,[Not Available],Ireland,"A biotechnology company developing cell engineering technologies to enable the delivery of genetic material into cells, supporting the development of next-generation cell therapies.",[Not Available],Biotechnology and Cell Therapy,No,Yes,Yes,No,
AVELLINO LAB USA INC,[Not Available],United States,"A biotechnology company specializing in genetic diagnostics and gene therapy, particularly in the fields of ophthalmology, offering advanced solutions for eye diseases.",[Not Available],Biotechnology and Ophthalmology,No,Yes,Yes,No,
AVELO AG,[Not Available],Switzerland,"A company focused on developing and commercializing innovative air purification and ventilation systems, providing solutions for improving indoor air quality in residential and commercial settings.",[Not Available],Environmental Technology and Air Quality,No,Yes,No,No,
AVENTIS PASTEUR INC,[Not Available],United States,"A global pharmaceutical company specializing in the development and manufacturing of vaccines, contributing to the prevention of infectious diseases worldwide. Now part of Sanofi Pasteur.",[Not Available],Vaccines and Pharmaceuticals,No,Yes,Yes,No,
AVIANA MOLECULAR TECHNOLOGIES LLC,[Not Available],United States,"A biotechnology company focused on developing advanced molecular diagnostic platforms, providing rapid and accurate testing solutions for infectious diseases and genetic conditions.",[Not Available],Biotechnology and Molecular Diagnostics,No,Yes,Yes,No,
AVICEDA OPHTHALMICS INC,[Not Available],United States,"A biotechnology company developing novel therapeutics for ocular diseases, focusing on glycan biology and its role in inflammation and retinal diseases.",[Not Available],Biotechnology and Ophthalmology,No,Yes,Yes,No,
AVICEDA THERAPEUTICS INC,[Not Available],United States,"A biotechnology company focused on developing innovative therapies for immune-mediated diseases, leveraging insights into glycan biology to treat cancer and inflammatory diseases.",[Not Available],Biotechnology and Immunology,No,Yes,Yes,No,
AVICENA SYSTEMS LTD,[Not Available],United Kingdom,"A company specializing in advanced communication technologies, providing innovative solutions for high-speed optical and wireless communication systems.",[Not Available],Telecommunications and Technology,No,Yes,No,No,
AVICONN SOLUTIONS PVT LTD,[Not Available],India,"A technology company offering IoT-based solutions for smart cities, including advanced monitoring, automation, and data analytics platforms for urban infrastructure management.",[Not Available],Technology and IoT Solutions,No,Yes,No,No,
AVIDITY BIOSCIENCES INC,[Not Available],United States,"A biopharmaceutical company pioneering a new class of oligonucleotide-based therapies, focusing on treating muscle diseases and other serious genetic disorders.",2012,Biopharmaceuticals and Genetic Medicine,No,Yes,Yes,No,
AVIONICS PHARMA SA,[Not Available],Switzerland,"A pharmaceutical company focused on developing and commercializing therapies for cardiovascular and metabolic diseases, offering innovative drug delivery systems and formulations.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,
AVIRMAX INC,[Not Available],United States,"A biotechnology company specializing in gene therapy research and development, focusing on using adeno-associated viruses (AAV) for the treatment of genetic disorders.",[Not Available],Biotechnology and Gene Therapy,No,Yes,Yes,No,
AVIRO LLC,[Not Available],United States,"A biotechnology company focused on developing antiviral therapies and vaccines, utilizing innovative technologies to combat viral infections and enhance immune response.",[Not Available],Biotechnology and Antiviral Therapy,No,Yes,Yes,No,
AVIRON CO LTD,[Not Available],Japan,"A technology company specializing in the development and manufacturing of precision machinery and industrial equipment, serving sectors such as automotive, aerospace, and manufacturing.",[Not Available],Manufacturing and Industrial Technology,No,Yes,No,No,
AVIRUS INC,[Not Available],United States,"A biotechnology company working on the development of antiviral drugs and therapeutic antibodies, focusing on innovative approaches to treat viral infections and immune-related diseases.",[Not Available],Biotechnology and Antiviral Therapy,No,Yes,Yes,No,
AVITAR BIOSCI INC,[Not Available],United States,"A biotechnology company focused on developing rapid diagnostic tests and biosensor technologies for point-of-care testing in healthcare, offering solutions for various infectious diseases.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
AVM BIOTECHNOLOGY LLC,[Not Available],United States,"A biotechnology company developing innovative therapies for cancer and autoimmune diseases, focusing on immune-modulating drugs that enhance the body's natural defenses against disease.",[Not Available],Biotechnology and Immunotherapy,No,Yes,Yes,No,
AVROBIO INC,[Not Available],United States,"A clinical-stage gene therapy company developing transformative therapies for rare genetic diseases, with a focus on delivering potentially curative treatments through ex vivo lentiviral gene therapy.",2015,Biotechnology and Gene Therapy,No,Yes,Yes,No,
AVSANA LABS INC,[Not Available],United States,"A biotechnology company focused on developing advanced laboratory solutions and services for drug discovery, clinical trials, and genetic research.",[Not Available],Biotechnology and Laboratory Services,No,Yes,Yes,No,
AVSYSTEMS INC,[Not Available],United States,A technology company specializing in developing and deploying cloud-based systems and IT solutions for enterprise-level clients across various industries.,[Not Available],Information Technology and Cloud Solutions,No,Yes,No,No,
AXCELLA HEALTH INC,[Not Available],United States,"A clinical-stage biotechnology company pioneering novel therapies for metabolic and liver diseases, using endogenous metabolic modulators (EMMs) to address complex health conditions.",2008,Biotechnology and Metabolic Therapy,No,Yes,Yes,No,
AXCESS GLOBAL SCI LLC,[Not Available],United States,"A company offering scientific consulting and global business solutions, specializing in technology transfer, research collaborations, and scientific project management.",[Not Available],Consulting and Technology Transfer,No,Yes,No,No,
AXEEN PHARMA,[Not Available],[Not Available],"A pharmaceutical company focused on developing and marketing generic and specialty drugs, with an emphasis on quality, affordability, and patient accessibility.",[Not Available],Pharmaceuticals,No,Yes,No,No,
AXELIA ONCOLOGY PTY LTD,[Not Available],Australia,"A biopharmaceutical company dedicated to developing novel oncology therapies, with a focus on targeted treatments for various types of cancer.",[Not Available],Biopharmaceuticals and Oncology,No,Yes,Yes,No,
AXIM BIOTECHNOLOGIES INC,[Not Available],United States,A biotechnology company specializing in the development of cannabinoid-based therapeutics and diagnostics for the treatment of various medical conditions.,2010,Biotechnology and Cannabinoid Therapeutics,No,Yes,Yes,No,
AXION AG,[Not Available],Switzerland,"A company providing financial services, including asset management, investment advisory, and wealth management, catering to high-net-worth individuals and institutions.",[Not Available],Financial Services and Asset Management,No,Yes,No,No,
AXIS ROBOTICS MANUTENCAO MAQUINAS LTDA,[Not Available],Brazil,"A company specializing in the maintenance and repair of industrial robots and machinery, providing advanced solutions for automation and manufacturing sectors.",[Not Available],Industrial Robotics and Automation,No,Yes,No,No,
AXOLTIS PHARMA,[Not Available],France,"A biopharmaceutical company focused on the development of innovative treatments for neurological disorders, leveraging expertise in neuroprotection and regenerative medicine.",[Not Available],Biopharmaceuticals and Neurology,No,Yes,Yes,No,
AXON NEUROSCIENCE SE,[Not Available],Slovakia,A biotechnology company leading in the research and development of vaccines and therapies for Alzheimer's disease and other neurodegenerative conditions.,[Not Available],Biotechnology and Neurodegenerative Diseases,No,Yes,Yes,No,
AYASS BIOSCI LLC,[Not Available],United States,"A biotechnology company focused on developing advanced diagnostic tests and personalized medicine solutions, with an emphasis on molecular diagnostics and genomics.",[Not Available],Biotechnology and Molecular Diagnostics,No,Yes,Yes,No,
AYBAR ECOTECHNOLOGIES CORP,[Not Available],United States,"A company specializing in eco-friendly technologies and sustainable solutions for agriculture, water management, and environmental protection.",[Not Available],Environmental Technology and Sustainability,No,Yes,Yes,No,
AZ SOLUTIONS LLC,[Not Available],United States,"A company offering IT consulting and technology solutions, focusing on cloud computing, cybersecurity, and digital transformation for businesses across various industries.",[Not Available],Information Technology and Consulting,No,Yes,No,No,
AZOL PHARMA CO LTD,[Not Available],Japan,"A pharmaceutical company engaged in the development and production of novel therapeutics for cancer and infectious diseases, with a focus on small molecule drugs.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,
AZOTHBIO INC,[Not Available],United States,"A biotechnology company focused on the discovery and development of small molecule drugs for the treatment of cancer and autoimmune diseases, utilizing proprietary screening technologies.",[Not Available],Biotechnology and Drug Discovery,No,Yes,Yes,No,
AZOVA INC,[Not Available],United States,"A digital health company providing telemedicine services and digital health solutions, enabling patients to connect with healthcare providers through a seamless online platform.",[Not Available],Digital Health and Telemedicine,No,Yes,No,No,
AZULCEU MEDICINE LTD,[Not Available],United Kingdom,"A biotechnology company specializing in stem cell research and regenerative medicine, focused on developing treatments for degenerative diseases and tissue regeneration.",[Not Available],Biotechnology and Regenerative Medicine,No,Yes,Yes,No,
AZUO GK,[Not Available],Japan,"A company providing consulting services and business solutions, specializing in market entry strategies, business development, and cross-border partnerships in Asia.",[Not Available],Consulting and Business Solutions,No,Yes,No,No,
B & B TRENDS SL,[Not Available],Spain,"A company specializing in the design, development, and distribution of consumer electronics and household products, known for innovation and quality in the European market.",[Not Available],Consumer Electronics,No,Yes,No,No,
B & H BIOTECHNOLOGIES LLC,[Not Available],United States,"A biotechnology company focused on the development of novel therapeutics and diagnostics, particularly in the areas of cancer and infectious diseases.",[Not Available],Biotechnology and Therapeutics,No,Yes,Yes,No,
B2SBIO INC,[Not Available],United States,"A biotechnology company dedicated to advancing synthetic biology solutions for industrial and environmental applications, including biofuels, bioplastics, and sustainable materials.",[Not Available],Biotechnology and Synthetic Biology,No,Yes,Yes,No,
BABBAGE YG,[Not Available],United Kingdom,"A research and development company focused on artificial intelligence and machine learning technologies, offering solutions for data analysis, automation, and decision-making in various industries.",[Not Available],Artificial Intelligence and Machine Learning,No,Yes,Yes,No,
BACAINN BIOTHERAPEUTICS LTD,[Not Available],United Kingdom,A biotechnology company focused on the development of microbiome-based therapies for the treatment of gastrointestinal disorders and metabolic diseases.,[Not Available],Biotechnology and Microbiome Therapy,No,Yes,Yes,No,
BACK YARDS ALGAE SCI LLC,[Not Available],United States,"A biotechnology company specializing in the cultivation and commercialization of algae-based products for nutrition, biofuels, and environmental applications.",[Not Available],Biotechnology and Algae Cultivation,No,Yes,Yes,No,
BAICAO BIANDA BIOTECHNOLOGY QINGDAO CO,[Not Available],China,"A biotechnology company focused on the development and production of herbal-based pharmaceuticals and nutraceuticals, leveraging traditional Chinese medicine and modern biotechnology.",[Not Available],Biotechnology and Herbal Medicine,No,Yes,Yes,No,
BAIDU USA LLC,[Not Available],United States,"A subsidiary of Baidu Inc., focusing on artificial intelligence, autonomous driving, and deep learning technologies, supporting Baidu's global AI strategy and innovation.",[Not Available],Artificial Intelligence and Technology,No,Yes,Yes,No,
BAIKUIRUI SHENZHEN BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company engaged in the research, development, and production of biopharmaceuticals, focusing on innovative therapies for cancer and autoimmune diseases.",[Not Available],Biotechnology,No,Yes,Yes,No,
BAIKUIRUI TIANJIN BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company specializing in the production of diagnostic reagents, vaccines, and therapeutic proteins for various medical applications.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
BAILI-BIO CHENGDU PHARM CO LTD,[Not Available],China,"A pharmaceutical company focused on the development and manufacturing of generic and innovative drugs, particularly in the fields of oncology and cardiovascular health.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,
BAISHAN GUANDONG PHARM FACTORY,[Not Available],China,"A pharmaceutical manufacturing company producing a wide range of generic medicines and active pharmaceutical ingredients (APIs), serving both domestic and international markets.",[Not Available],Pharmaceuticals and Manufacturing,No,Yes,No,No,
BAITE ENVIRONMENTAL PROTECTION TECHNOLOGY CO LTD,[Not Available],China,"A company specializing in environmental protection technologies, offering solutions for waste management, pollution control, and sustainable environmental practices.",[Not Available],Environmental Technology,No,Yes,Yes,No,
BAIYA PHYTOPHARM CO LTD,[Not Available],China,"A biotechnology company focusing on the development and commercialization of plant-based pharmaceuticals, using advanced phytotechnology to create innovative drugs.",[Not Available],Biotechnology and Phytopharmaceuticals,No,Yes,Yes,No,
BAIYAO ZHIDA BEIJING NANO BIOTECHNOLOGY,[Not Available],China,"A biotechnology company engaged in the research and development of nano-based drug delivery systems and therapeutics, focusing on cancer treatment and precision medicine.",[Not Available],Biotechnology and Nanotechnology,No,Yes,Yes,No,
BAKER HEART & DIABETES INST,[Not Available],Australia,"A leading medical research institute dedicated to the study and treatment of cardiovascular diseases, diabetes, and related conditions, advancing scientific knowledge and clinical care.",1926,Medical Research and Healthcare,No,No,Yes,Yes,
BALEL SA,[Not Available],Switzerland,"A company involved in the production and distribution of high-quality consumer goods, including cosmetics, skincare products, and luxury items, with a focus on innovation and sustainability.",[Not Available],Consumer Goods and Cosmetics,No,Yes,No,No,
BALIKESIR BUEYUEKSEHIR BELEDIYE BASKANLIGI,[Not Available],Turkey,"The municipal government of BalÄ±kesir, responsible for public services, urban planning, and infrastructure development, focusing on improving the quality of life for residents.",[Not Available],Government and Public Services,Yes,No,No,No,
BAMBOO CHEM KENKYUSHO KK,[Not Available],Japan,"A research institute focused on the development of bamboo-based chemical products, exploring sustainable alternatives in materials science and environmental applications.",[Not Available],Chemical Research and Sustainability,No,Yes,Yes,No,
BAMBU VAULT LLC,[Not Available],United States,"A company providing secure storage solutions and vault services for valuable assets, specializing in high-security storage for financial institutions, businesses, and individuals.",[Not Available],Security and Storage Solutions,No,Yes,No,No,
BANJU BIOTECHNOLOGY CO LTD,[Not Available],South Korea,"A biotechnology company engaged in the development and production of biopharmaceuticals, focusing on innovative therapies for chronic diseases and immune disorders.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
BANK MONTREAL,[Not Available],Canada,"One of Canada's largest banks, providing a wide range of financial services including personal banking, wealth management, and investment banking.",1817,Financial Services and Banking,No,Yes,No,No,
BANK NEW YORK MELLON,[Not Available],United States,"A global investments company providing financial services for institutions, corporations, and high-net-worth individuals, including asset management, custody, and wealth management.",1784,Financial Services and Asset Management,No,Yes,No,No,
BANK OF AMERICA CORP,[Not Available],United States,"One of the largest financial institutions in the world, providing banking, investment, and financial services to individuals, businesses, and governments globally.",1904,Financial Services and Banking,No,Yes,No,No,
BAODING GUOLAN BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company involved in the research, development, and production of agricultural biotechnologies, including biopesticides, biofertilizers, and plant growth regulators.",[Not Available],Biotechnology and Agriculture,No,Yes,Yes,No,
BAODING JIARUIYUAN BIOCHIP CO LTD,[Not Available],China,"A biotechnology company specializing in the development of biochips and diagnostic reagents, focusing on high-throughput screening and personalized medicine.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
BAODING NUOWEI TECHNOLOGY CO LTD,[Not Available],China,"A technology company focused on the development of advanced materials and technologies for industrial applications, including coatings, adhesives, and specialty chemicals.",[Not Available],Industrial Technology and Materials Science,No,Yes,Yes,No,
BAOLI JIANING INVESTMENT CO LTD,[Not Available],China,"An investment company engaged in diverse business activities, including real estate, finance, and biotechnology, with a focus on strategic investments in emerging industries.",[Not Available],Investment and Real Estate,No,Yes,No,No,
BAOLVFENG HUBEI BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on the development and production of bio-based chemicals and materials, promoting sustainability in the chemical industry.",[Not Available],Biotechnology and Sustainable Chemicals,No,Yes,Yes,No,
BAORUIYUAN BIOTECHNOLOGY BEIJING CO LTD,[Not Available],China,"A biotechnology company specializing in the research and development of pharmaceuticals and diagnostic products, focusing on innovative therapies for chronic diseases.",[Not Available],Biotechnology and Pharmaceuticals,No,Yes,Yes,No,
BAOTOU RARE EARTH RES & DEV CENT CHINESE,[Not Available],China,"A research and development center dedicated to the exploration and processing of rare earth elements, focusing on applications in high-tech industries such as electronics and renewable energy.",[Not Available],Rare Earth Research and Development,Yes,No,Yes,No,
BAOTOU RUIXIANG HOLDING CENT LP,[Not Available],China,"A holding company involved in various industries, including mining, energy, and finance, with a focus on investments in rare earth materials and strategic resources.",[Not Available],Investment and Mining,No,Yes,No,No,
BAOXIN INT BIOTECHNOLOGY SHANDONG CO LTD,[Not Available],China,"A biotechnology company engaged in the research, development, and production of biopharmaceuticals, focusing on innovative therapies for various medical conditions.",[Not Available],Biotechnology,No,Yes,Yes,No,
BAPPEDA PROVINSI JAWA TENGAHJALAN,[Not Available],Indonesia,"The regional planning and development agency of Central Java Province, responsible for formulating and coordinating regional development policies and programs.",[Not Available],Government and Regional Development,Yes,No,No,No,
BAR CODE INDIA LTD,[Not Available],India,"A leading provider of barcode, RFID, and IoT solutions, offering advanced technology for supply chain management, inventory tracking, and asset management across industries.",[Not Available],Information Technology and Automation,No,Yes,No,No,
BAR PHARM SRL,[Not Available],Italy,"A pharmaceutical company focused on the development, production, and commercialization of generic and specialty drugs, particularly in the areas of oncology and cardiology.",[Not Available],Pharmaceuticals,No,Yes,No,No,
BARON BIO CO LTD,[Not Available],South Korea,"A biotechnology company specializing in the development of diagnostic reagents and kits, with a focus on rapid testing solutions for infectious diseases.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
BARTS HEALTH NHS TRUST,[Not Available],United Kingdom,"One of the largest NHS trusts in the UK, providing comprehensive healthcare services through a network of hospitals and clinics in London, with a focus on patient care and medical research.",2012,Healthcare and Medical Research,Yes,No,Yes,Yes,
BARUCH S BLUMBERG INST,[Not Available],United States,"A nonprofit research organization dedicated to advancing scientific understanding and treatment of liver diseases, including hepatitis and liver cancer, through innovative research and collaboration.",[Not Available],Medical Research,No,No,Yes,No,
BASE PAIR BIOTECHNOLOGIES INC,[Not Available],United States,"A biotechnology company focused on the development of aptamer-based diagnostics and therapeutics, offering custom aptamer discovery services for a wide range of applications.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
BASECLICK GMBH,[Not Available],Germany,"A biotechnology company specializing in the development of innovative nucleic acid labeling technologies, providing tools for research, diagnostics, and therapeutic applications.",[Not Available],Biotechnology and Nucleic Acid Technology,No,Yes,Yes,No,
BASELINE VIRAL DIAGNOSTICS INC,[Not Available],United States,"A company focused on developing and commercializing diagnostic solutions for viral infections, providing rapid and accurate testing technologies for clinical and point-of-care use.",[Not Available],Biotechnology and Viral Diagnostics,No,Yes,Yes,No,
BASF CORP,[Not Available],Germany (Global Operations),"A leading global chemical company providing a wide range of products and solutions for industries such as agriculture, automotive, construction, and pharmaceuticals.",1865,Chemicals and Materials Science,No,Yes,Yes,No,
BASIC SCI INST,[Not Available],[Not Available],"A research institution dedicated to fundamental scientific research across various disciplines, aiming to advance knowledge and contribute to technological innovation.",[Not Available],Scientific Research,No,No,Yes,No,
BATTELLE MEMORIAL INST,[Not Available],United States,"A nonprofit applied science and technology development company that conducts research and development, manages laboratories, and provides strategic consulting services to government and private clients.",1929,Research and Development,No,No,Yes,No,
BAUSCH & LOMB IRELAND LTD,[Not Available],Ireland,A global eye health company dedicated to perfecting vision and enhancing life through the development of innovative optical and ophthalmic products.,1853,Eye Care and Medical Devices,No,Yes,Yes,No,
BAUSCH HEALTH IRELAND LTD,[Not Available],Ireland,"A global pharmaceutical company focused on developing, manufacturing, and marketing a wide range of products in therapeutic areas such as dermatology, gastroenterology, and eye health.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,
BAVARIAN NORDIC AS,[Not Available],Denmark,"A biotechnology company specializing in the development, manufacturing, and commercialization of innovative vaccines for infectious diseases and cancer immunotherapy.",1994,Biotechnology and Vaccines,No,Yes,Yes,No,
BAX EQUITY LTD,[Not Available],United Kingdom,"An investment firm specializing in private equity and venture capital, focusing on high-growth sectors such as technology, healthcare, and consumer goods.",[Not Available],Investment and Private Equity,No,Yes,No,No,
BAXDIGM CO LTD,[Not Available],South Korea,"A biotechnology company focused on developing diagnostic tools and systems for the detection and monitoring of infectious diseases, utilizing advanced molecular technologies.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
BAXTER ENVIRONMENTAL TECHNOLOGY CO LTD,[Not Available],United States,"A company specializing in environmental technologies and solutions, offering products and services for waste management, water treatment, and pollution control.",[Not Available],Environmental Technology,No,Yes,Yes,No,
BAYER AG,[Not Available],Germany,"A global life sciences company with core competencies in healthcare and agriculture, providing innovative products in pharmaceuticals, consumer health, crop science, and animal health.",1863,Pharmaceuticals and Life Sciences,No,Yes,Yes,No,
BAYERISCHE MOTOREN WERKE AG (BMW),[Not Available],Germany,"A global automobile manufacturer known for its premium cars and motorcycles, with a focus on innovation, sustainability, and driving pleasure.",1916,Automotive Manufacturing,No,Yes,Yes,No,
BAYLOR RES INST,[Not Available],United States,"A leading medical research institute affiliated with Baylor Scott & White Health, conducting cutting-edge research in areas such as oncology, cardiology, and immunology.",[Not Available],Medical Research and Healthcare,No,No,Yes,Yes,
BAYSPEC INC,[Not Available],United States,"A technology company specializing in the development and manufacturing of advanced optical instruments, including spectrometers, imaging systems, and telecommunications equipment.",[Not Available],Optical Technology,No,Yes,Yes,No,
BAYVAX BIOTECH LTD,[Not Available],United States,"A biotechnology company focused on developing vaccines and immunotherapies for infectious diseases, leveraging advanced technologies for rapid and effective vaccine development.",[Not Available],Biotechnology and Vaccines,No,Yes,Yes,No,
BAZELET HEALTH SYSTEMS INC,[Not Available],United States,"A health technology company developing and providing innovative solutions for the medical cannabis industry, focusing on patient care, compliance, and operational efficiency.",[Not Available],Health Technology and Medical Cannabis,No,Yes,No,No,
BAZHONG CENT HOSPITAL,[Not Available],China,"A comprehensive public hospital providing a wide range of medical services, including emergency care, surgery, and specialized treatments, with a focus on patient-centered care.",[Not Available],Healthcare,Yes,No,No,Yes,
BBUREAU ETUD BIOLOGIQUES SCI & MEDICALES,[Not Available],France,"A research and consulting firm specializing in biological and medical studies, providing expertise in clinical trials, scientific research, and regulatory compliance.",[Not Available],Scientific Research and Consulting,No,Yes,Yes,No,
BCELL SOLUTIONS INC,[Not Available],United States,"A biotechnology company focused on the development of B-cell based immunotherapies for the treatment of autoimmune diseases and cancer, utilizing cutting-edge cell therapy technologies.",[Not Available],Biotechnology and Immunotherapy,No,Yes,Yes,No,
BDR PHARM INT PRIVATE LTD,[Not Available],India,"A pharmaceutical company specializing in the development, manufacturing, and marketing of high-quality generic and specialty medicines, serving markets worldwide.",[Not Available],Pharmaceuticals,No,Yes,No,No,
BE AEROSPACE INC,[Not Available],United States,"A leading manufacturer of aircraft cabin interior products, offering a wide range of seating, lighting, oxygen systems, and other equipment for commercial and business aircraft.",[Not Available],Aerospace Manufacturing,No,Yes,No,No,
BEA SYSTEMS INC,[Not Available],United States,"A software company providing enterprise infrastructure solutions, including application servers, integration, and service-oriented architecture (SOA) products, now part of Oracle Corporation.",1995,Software and Information Technology,No,Yes,No,No,
BEACLE INC,[Not Available],Japan,"A biotechnology company focusing on the development and commercialization of diagnostic reagents and research tools, particularly for protein analysis and detection.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
BECKLEY PSYTECH LTD,[Not Available],United Kingdom,"A biotechnology company dedicated to developing psychedelic medicines for the treatment of mental health disorders, combining scientific research with clinical innovation.",2019,Biotechnology and Mental Health,No,Yes,Yes,No,
BECKMAN COULTER INC,[Not Available],United States,"A global company specializing in the development and manufacturing of biomedical testing instruments, laboratory automation systems, and diagnostic products for clinical laboratories.",1935,Biomedical Testing and Diagnostics,No,Yes,No,No,
BECTON DICKINSON & CO,[Not Available],United States,"A global medical technology company that develops, manufactures, and sells medical devices, laboratory equipment, and diagnostic products, focusing on improving patient outcomes.",1897,Medical Devices and Diagnostics,No,Yes,No,No,
BEDROSIAN GLOBAL LLC,[Not Available],United States,"A company providing consulting and advisory services in the fields of international business, healthcare, and technology, helping clients navigate global markets and regulatory environments.",[Not Available],Consulting and Advisory Services,No,Yes,No,No,
BEECH TREE LABS INC,[Not Available],United States,"A biotechnology company focused on the discovery and development of novel therapeutics for chronic and infectious diseases, leveraging proprietary biochemical and biophysical technologies.",[Not Available],Biotechnology and Therapeutics,No,Yes,Yes,No,
BEEOTEC HOLDING SA,[Not Available],Switzerland,"A biotechnology holding company focused on investing in and supporting companies involved in the development of innovative biotech solutions, particularly in the fields of health and sustainability.",[Not Available],Biotechnology Investment and Holding,No,Yes,No,No,
BEGONVITA LIFE SCI CO LTD,[Not Available],China,"A life sciences company engaged in the research, development, and commercialization of health and wellness products, including supplements and nutraceuticals.",[Not Available],Life Sciences and Nutraceuticals,No,Yes,Yes,No,
BEIHAI XINGLONG BIOLOGICAL PROD CO LTD,[Not Available],China,"A biotechnology company specializing in the production of biological products, including vaccines, biopharmaceuticals, and diagnostic reagents, for medical and veterinary use.",[Not Available],Biotechnology and Biological Products,No,Yes,Yes,No,
BEIJING ABACE BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on the development of therapeutic antibodies and biologics, providing innovative solutions for the treatment of cancer and autoimmune diseases.",[Not Available],Biotechnology and Therapeutic Antibodies,No,Yes,Yes,No,
BEIJING ABZYMO BIOSCIENCES CO LTD,[Not Available],China,"A biotechnology company specializing in the development and production of monoclonal antibodies and recombinant proteins for research, diagnostics, and therapeutic use.",[Not Available],Biotechnology and Monoclonal Antibodies,No,Yes,Yes,No,
BEIJING ACRO BIOSYSTEMS BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on providing high-quality recombinant proteins, antibodies, and assay kits for drug development, diagnostics, and academic research.",[Not Available],Biotechnology and Protein Research,No,Yes,Yes,No,
BEIJING ALDANS BIOTECH CO LTD,[Not Available],China,"A biotechnology company engaged in the research and development of innovative biologics, including gene therapies and regenerative medicine, for the treatment of chronic diseases.",[Not Available],Biotechnology and Regenerative Medicine,No,Yes,Yes,No,
BEIJING ANBAISHENG BIOLOGICAL TECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on developing and producing diagnostic reagents and kits, particularly for infectious diseases and genetic testing.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
BEIJING ANGEL BIOMED CO LTD,[Not Available],China,"A biotechnology company specializing in the research, development, and commercialization of biologic drugs, with a focus on innovative therapies for cancer and immune disorders.",[Not Available],Biotechnology and Biologic Drugs,No,Yes,Yes,No,
BEIJING ANNOROAD MEDICAL TESTING LAB CO LTD,[Not Available],China,"A medical testing laboratory providing advanced diagnostic services, including genetic testing, prenatal screening, and personalized medicine, with a focus on accuracy and innovation.",[Not Available],Medical Testing and Diagnostics,No,Yes,No,No,
BEIJING AOHE DRUG RES INST CO LTD,[Not Available],China,"A drug research institute specializing in the development of novel pharmaceutical formulations and drug delivery systems, offering contract research services to the pharmaceutical industry.",[Not Available],Pharmaceutical Research and Drug Development,No,Yes,Yes,No,
BEIJING APEXBIO BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on the research, development, and production of small molecule drugs and diagnostic reagents, serving the pharmaceutical and healthcare industries.",[Not Available],Biotechnology and Drug Development,No,Yes,Yes,No,
