Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center,Academic Institute Type,Academic Areas
SOUTHERN RES INST,,,Engages in various research activities.,,Research,No,Yes,Yes,Yes,,
SOUTHERN THEATER COMMAND GEN HOSPITAL,,,Provides healthcare and medical services.,,Healthcare,No,No,No,No,,
SOUTHLAKE PHARM INC,,,Focuses on pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
SOUTHWEST RES INST,,,Engages in research and development activities.,,Research,No,Yes,Yes,No,,
SOUVIE BIODELIVERY LLC,,,Focuses on biodelivery and biotechnology solutions.,,Biotechnology,No,Yes,No,No,,
SOYEON MEDICAL CO LTD,,,Specializes in medical devices and solutions.,,Medical Devices,No,Yes,No,No,,
SPACESVORTEX LLC,,,Engages in space and technology innovations.,,Space Technology,No,Yes,No,No,,
SPANISH NAT CENT BIOTECHNOLOGY,,,Focuses on biotechnology research and development.,,Biotechnology,Yes,No,Yes,No,,
SPANNRIT GMBH,,,Specializes in various technological solutions.,,Technology,No,Yes,No,No,,
SPARCE LAB LLC,,,Engages in laboratory research and development.,,"Research, Laboratory Services",No,Yes,No,No,,
SPARK BIOPHARMA INC,,,Focuses on biopharmaceutical research and development.,,Biopharmaceuticals,No,Yes,No,No,,
SPARK THERAPEUTICS INC,https://www.sparktx.com,USA,Specializes in gene therapies and innovative treatments.,2013,"Biopharmaceuticals, Gene Therapy",No,Yes,No,No,,
SPARTINA BIOTECHNOLOGIES INC,,,Engages in biotechnological research and development.,,Biotechnology,No,Yes,No,No,,
SPCM SA,,,Provides specialized chemical and pharmaceutical solutions.,,"Chemicals, Pharmaceuticals",No,Yes,No,No,,
SPECIALLY WUHAN LIFE TECHNOLOGY CO LTD,,"Wuhan, China",Focuses on life technology and innovation.,,Life Technology,No,Yes,No,No,,
SPECIALTY DIAGNOSTIC SDI LAB INC,,,Specializes in diagnostic testing and services.,,Diagnostics,No,Yes,No,No,,
SPECTRA SYSTEMS CORP,,,Provides systems and solutions for various applications.,,"Systems, Technology",No,Yes,No,No,,
SPECTRAL ANALYTICS INC,,,Specializes in analytical solutions and technologies.,,"Analytics, Technology",No,Yes,No,No,,
SPECTRAL MED SOLUTION AG,,,Provides medical solutions and technologies.,,Medical Technologies,No,Yes,No,No,,
SPECTRAPASS LLC,,,Focuses on advanced security and technology solutions.,,"Security, Technology",No,Yes,No,No,,
SPECTRICITY,,,Engages in spectroscopic technologies and solutions.,,"Spectroscopy, Technology",No,Yes,No,No,,
SPECTRUM CO,,,Provides technology and analytical solutions.,,"Technology, Analytics",No,Yes,No,No,,
SPECTRUM SOLUTIONS LLC,,,Specializes in various technological solutions and services.,,"Technology, Solutions",No,Yes,No,No,,
SPEDDING RES SOLUTIONS SAS,,,Focuses on research and solutions in various fields.,,"Research, Solutions",No,Yes,No,No,,
SPEPHARM AG,,,Specializes in pharmaceutical products and solutions.,,Pharmaceuticals,No,Yes,No,No,,
SPEROVIE BIOSCI INC,,,Focuses on biotechnology and bioscience research.,,"Biotechnology, Bioscience",No,Yes,No,No,,
SPEXIS AG,,,Provides specialized chemical and pharmaceutical solutions.,,"Chemicals, Pharmaceuticals",No,Yes,No,No,,
SPF BEIJING ANIMALS TECHNOLOGY CO LTD,,"Beijing, China",Engages in animal technology and related research.,,Animal Technology,No,Yes,No,No,,
SPH NO 1 BIOCHEMICAL & PHARM CO LTD,,,Specializes in biochemical and pharmaceutical products.,,"Biochemicals, Pharmaceuticals",No,Yes,No,No,,
SPHINGOTEC GMBH,,,Engages in developing innovative diagnostics and therapeutics.,,"Diagnostics, Therapeutics",No,Yes,No,No,,
SPICONA INC,,,Focuses on nanotechnology and its applications.,,Nanotechnology,No,Yes,No,No,,
SPIDERTECH INC,,,Specializes in various technology and innovation solutions.,,"Technology, Innovation",No,Yes,No,No,,
SPINOMICS LTDA,,,Focuses on biotechnology and genomics research.,,"Biotechnology, Genomics",No,Yes,No,No,,
SPINQ BIOPHYSICS INC,,,Specializes in biophysics research and applications.,,Biophysics,No,Yes,No,No,,
SPIRA INNOVATION INC,,,Engages in innovative technology solutions.,,"Technology, Innovation",No,Yes,No,No,,
SPIRIFY PHARMA INC,,,Focuses on pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
SPIRIT SCI CO LTD,,,Specializes in scientific research and technology.,,Scientific Research,No,Yes,No,No,,
SPIRITUS BIO INC,,,Engages in biotechnology and bioscience research.,,"Biotechnology, Bioscience",No,Yes,No,No,,
SPIRITUS THERAPEUTICS INC,,,Focuses on therapeutic solutions and research.,,Therapeutics,No,Yes,No,No,,
SPIRULINAFARMS CO LTD,,,Specializes in spirulina and related health products.,,Health Products,No,Yes,No,Yes,,
SPITAL CLINIC JUDETEAN URGENTA PIUS BRIN,,,Provides emergency medical services and healthcare.,,Healthcare,No,No,No,No,,
SPOREGEN LTD,,,Engages in spore-related biotechnology research.,,Biotechnology,No,Yes,No,No,,
SPOT BIOSYSTEMS LTD,,,Specializes in biosystems and biotechnology solutions.,,"Biosystems, Biotechnology",No,Yes,No,No,,
SPRING DISCOVERY INC,,,Focuses on discovery and development in biotechnology.,,Biotechnology,No,Yes,No,No,,
SPRO MEDICAL PROD HK CO LTD,,Hong Kong,Provides medical products and solutions.,,Medical Products,No,Yes,No,No,,
SPV TIMSER SAPI DE CV,,,Engages in various technological and industrial solutions.,,"Technology, Industrial",No,Yes,No,No,,
SPYBIOTECH LTD,,,Specializes in biotechnology and innovative solutions.,,Biotechnology,No,Yes,No,No,,
SQ BIOPHARM INC,,,Focuses on biopharmaceutical development and research.,,Biopharmaceuticals,No,Yes,No,No,,
SQUIRE KENT PTY LTD,,,Provides various services in technology and research.,,"Technology, Research",No,Yes,No,No,,
SR ROTARY CHEM TECHNOLOGY INST,,,Specializes in chemical technology research.,,Chemical Technology,No,Yes,Yes,No,,
SRS BIOTECH INC,,,Engages in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SRTI INSTITUTO NACIONAL,,,Engages in scientific research and technology innovation.,,"Research, Technology",Yes,No,Yes,No,,
SSCI INC,,,Specializes in scientific and technological research.,,Scientific Research,No,Yes,No,No,,
SSGEN TECHNOLOGIES INC,,,Focuses on technological and innovative solutions.,,Technology,No,Yes,No,No,,
STAGEBIO INC,,,Provides various biotechnology and biomedical services.,,"Biotechnology, Biomedical",No,Yes,No,No,,
STAINLESS BIOTECH INC,,,Specializes in biotechnology and chemical solutions.,,"Biotechnology, Chemicals",No,Yes,No,Yes,,
STAMPS CLINIC INC,,,Engages in various medical and healthcare services.,,Healthcare,No,Yes,No,No,,
STAR BIOTECHNOLOGY INC,,,Focuses on biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
STAR THERAPEUTICS INC,,,Engages in the development of therapeutic solutions.,,Therapeutics,No,Yes,No,Yes,,
SREE CHITRA TIRUNAL INST MEDICAL SCI & T,,"Trivandrum, India",Specializes in medical sciences and technology research and development.,,"Medical Research, Healthcare",Yes,No,Yes,Yes,,
SRI BALAJI VIDYAPEETH,,"Pondicherry, India",Provides education and research in various fields including medical sciences.,,"Education, Medical Research",No,No,Yes,No,,
SRI INT,,,Engages in various research and technology initiatives.,,"Technology, Research",No,Yes,Yes,No,,
SRIKANTH KODEBOYINA,,,Engages in various technological and scientific endeavors.,,"Technology, Science",No,No,No,No,,
SRIVEDA SATTVA PRIVATE LTD,,,Focuses on biotechnology and related research.,,Biotechnology,No,Yes,No,No,,
SSAVIGROUP GROUP JOINT STOCK CO,,,Engages in various technological and industrial solutions.,,"Technology, Industrial",No,Yes,No,No,,
ST CORP,,,Provides various industrial and technological solutions.,,"Industrial, Technology",No,Yes,No,No,,
ST IP HOLDING AG,,,Specializes in intellectual property management and related services.,,Intellectual Property,No,Yes,No,Yes,,
ST JUDE CHILDREN'S RES HOSPITAL,,"Memphis, Tennessee, USA",Provides specialized healthcare and research for children with cancer and other life-threatening diseases.,,"Healthcare, Research",No,No,Yes,No,,
ST PETERSBURG EMERGENCY MEDICINE RES INS,,"St. Petersburg, Russia",Specializes in emergency medicine research and development.,,"Medical Research, Emergency Medicine",Yes,No,Yes,No,,
ST PETERSBURG VACCINES & SERUMS RES INST,,"St. Petersburg, Russia",Engages in the research and development of vaccines and serums.,,"Vaccines, Serums, Medical Research",Yes,No,Yes,No,,
ST PHARM CO LTD,,,Focuses on pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
ST PHI THERAPEUTICS CO LTD,,,Engages in the development of therapeutic solutions.,,Therapeutics,No,Yes,No,No,,
STAB VIDA INVESTIGACAO E SERVICOS EM CIE,,,Specializes in scientific research and services.,,Scientific Research,No,Yes,Yes,No,,
STAGEN CO LTD,,,Engages in biotechnology and life sciences research.,,"Biotechnology, Life Sciences",No,Yes,No,No,,
STAGEN KK,,,Specializes in biotechnology and related fields.,,Biotechnology,No,Yes,No,No,,
STAIDSON BEIJING BIOPHARMACEUTICALS CO,,"Beijing, China",Focuses on biopharmaceutical research and development.,,Biopharmaceuticals,No,Yes,No,No,,
STALLZONE BIO CO LTD,,,Engages in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
STALPROEKT LLC,,,Provides engineering and technology solutions.,,"Engineering, Technology",No,Yes,No,No,,
STANDARD BIOTOOLS INC,,,Specializes in biotechnology tools and solutions.,,Biotechnology,No,Yes,No,No,,
STANFORD DEVICES LTD,,,Focuses on technological devices and innovations.,,Technology,No,Yes,No,No,,
STANFORD RES INST INT,,,Engages in various international research initiatives.,,Research,No,No,Yes,No,,
STANWIXFORBES LLC,,,Provides technology and business consulting services.,,"Technology, Consulting",No,Yes,No,No,,
STARPHARMA PTY LTD,,"Melbourne, Australia",Specializes in pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
STARROCK PHARMA LLC,,,Engages in pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
STARSHIELD TECHNOLOGIES PVT LTD,,,Focuses on technology solutions and innovations.,,Technology,No,Yes,No,No,,
STARTFLYING SOLUTION OPC PRIVATE LTD,,,Engages in various technological and business solutions.,,"Technology, Business Solutions",No,Yes,No,No,,
STATE GRID CORP CHINA,,"Beijing, China",A major state-owned utility company providing electricity across China.,,Utilities,Yes,No,No,No,,
STATE GRID HENAN ELECTRIC POWER CO,,"Henan, China",Provides electric power services in the Henan province.,,Utilities,Yes,No,No,No,,
STATE GRID INFORMATION & TELECOM GROUP,,,Specializes in information and telecommunications services.,,"Telecommunications, Information Technology",Yes,No,No,No,,
STATE GRID SHANXI ELECTRIC POWER CO,,"Shanxi, China",Provides electric power services in the Shanxi province.,,Utilities,Yes,No,No,No,,
STATE RES CENT APPLIED MICROBIOLOGY,,,Engages in applied microbiology research.,,"Microbiology, Research",,,Yes,No,,
STATE SCI CENT IMMUNOLOGY INST,,,Specializes in immunology research.,,"Immunology, Research",,,Yes,No,,
STATENS SERUM INST,,"Copenhagen, Denmark",Focuses on serum and vaccine research and development.,,"Vaccines, Serum, Medical Research",Yes,No,Yes,No,,
STEED FLOW SENSOR CORP,,,Specializes in flow sensor technology.,,"Sensors, Technology",No,Yes,No,No,,
STEM CELL REVIVE LLC,,,Focuses on stem cell research and regenerative medicine.,,"Stem Cells, Regenerative Medicine",No,Yes,No,No,,
STEM CELL SCI & REGENERATIVE MEDICINE,,,Engages in research related to stem cells and regenerative medicine.,,"Stem Cells, Regenerative Medicine",No,Yes,Yes,No,,
STEMBERG BV,,,Specializes in biotechnological and pharmaceutical solutions.,,"Biotechnology, Pharmaceuticals",No,Yes,No,No,,
STEMIRNA SHANGHAI BIOTECHNOLOGY CO LTD,,"Shanghai, China",Focuses on mRNA technology and biotechnology.,,"Biotechnology, mRNA Technology",No,Yes,No,No,,
STEMIRNA THERAPEUTICS CO LTD,,,Specializes in mRNA therapeutics and biotechnology.,,"Biotechnology, mRNA Therapeutics",No,Yes,No,No,,
STEMLINE THERAPEUTICS INC,,,Focuses on developing novel stem cell-based therapies.,,"Biotechnology, Stem Cell Therapeutics",No,Yes,No,No,,
STEMNOVATE LTD,,,Engages in innovative stem cell research and biotechnology.,,"Stem Cells, Biotechnology",No,Yes,No,No,,
STEMS INC,,,Focuses on stem cell technology and related research.,,"Stem Cells, Biotechnology",No,Yes,No,No,,
STERIL RES & PRODN CO LLC,,,Specializes in sterilization and production technologies.,,"Sterilization, Manufacturing",No,Yes,No,No,,
STERILECARE INC,,,Provides sterilization products and services.,,Sterilization Products,No,Yes,No,No,,
STERILOGY HOLDINGS INC,,,Engages in the development of sterilization technologies.,,Sterilization Technology,No,Yes,No,No,,
STERM BIO INC,,,Specializes in biotechnology and bioengineering.,,Biotechnology,No,Yes,No,No,,
STERO BIOTECHS LTD,,,Focuses on steroid-based biotechnological solutions.,,"Biotechnology, Steroids",No,Yes,No,No,,
STEVENSONS DYERS & FINISHERS LTD HALLEY,,,Provides dyeing and finishing services for textiles.,,Textile Processing,No,Yes,No,No,,
STH LLC,,,Engages in various business and technological activities.,,Business Solutions,No,Yes,No,Yes,,
STICHTING HET NEDERLANDS KANKER INST,,"Amsterdam, Netherlands",Focuses on cancer research and treatment.,,"Cancer Research, Healthcare",No,No,Yes,Yes,,
STICHTING MEDISCHE KLINIEK VELSEN,,"Velsen, Netherlands",Provides medical care and clinical services.,,"Healthcare, Medical Services",No,No,No,Yes,,
STICHTING VUMC,,"Amsterdam, Netherlands",Specializes in medical research and healthcare services.,,"Medical Research, Healthcare",No,No,Yes,No,,
STICHTING WAGENINGEN RES,,"Wageningen, Netherlands",Engages in applied research in the life sciences.,,"Research, Life Sciences",No,No,Yes,No,,
STMICROELECTRONICS SRL,,,Provides semiconductor solutions and microelectronics.,,"Semiconductors, Microelectronics",No,Yes,No,No,,
STOEBICH LIFE SAFETY GMBH,,,Specializes in life safety and fire protection solutions.,,"Life Safety, Fire Protection",No,Yes,No,No,,
STONE LAB,,,Engages in laboratory services and research.,,"Laboratory Services, Research",No,Yes,No,No,,
STORY CITY,,,Provides various services and solutions.,,Business Solutions,No,Yes,No,No,,
STPH THERAPEUTICS CO LTD,,,Specializes in therapeutics development.,,"Pharmaceuticals, Therapeutics",No,Yes,No,No,,
STRATEGIA PROJECT MANAGEMENT AN ILLINOIS LLC,,"Illinois, USA",Engages in project management services and consulting.,,Project Management,No,Yes,No,No,,
STRATEJIK YENILIKCI GIRISIMLER ARGE,,,Focuses on strategic innovation and research.,,"Innovation, Research",No,Yes,No,No,,
STREAM BIOMEDICAL INC,,,Specializes in biomedical research and technology.,,Biomedical Research,No,Yes,No,No,,
STREAM LABS CO LLC,,,Engages in laboratory testing and solutions.,,Laboratory Services,No,Yes,No,No,,
STRIKE PHARMA AB,,,Focuses on pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
STRM BIO INC,,,Engages in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
STRYKER SUSTAINABILITY SOLUTIONS INC,,,Focuses on sustainability solutions in the medical field.,,"Sustainability, Medical Solutions",No,Yes,No,No,,
SUBARU CORP,,"Tokyo, Japan",A major automobile manufacturer with interests in various technologies.,,Automotive,No,Yes,No,Yes,,
SUBEI PEOPLE'S HOSPITAL,,"Subei, China",Provides comprehensive medical services and care.,,Healthcare,No,No,No,No,,
SUBINTRO LTD,,,Specializes in business and technological solutions.,,Business Solutions,No,Yes,No,No,,
SUBSTIPHARM,,,Focuses on pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
SUBTLE MEDICAL INC,,,Develops medical imaging and diagnostic technologies.,,Medical Imaging,No,Yes,No,No,,
SUISONIA CO LTD,,,Engages in biotechnology and medical solutions.,,Biotechnology,No,Yes,No,No,,
SULFAGENIX INC,,,Specializes in biopharmaceutical research and development.,,Biopharmaceuticals,No,Yes,No,No,,
SUMAGEN CANADA INC,,,Engages in research and development of medical technologies.,,Medical Technology,No,Yes,No,No,,
SUMITOMO BAKELITE CO LTD,,,Specializes in plastics and chemicals.,,"Chemicals, Plastics",No,Yes,No,No,,
SUMITOMO CHEM CO LTD,,,Engages in chemical and pharmaceutical research and manufacturing.,,"Chemicals, Pharmaceuticals",No,Yes,No,No,,
SUMITOMO PHARM CO LTD,,,Focuses on pharmaceutical development and research.,,Pharmaceuticals,No,Yes,No,No,,
SUMITOMO SEIKA CHEM CO LTD,,,Specializes in chemical manufacturing.,,Chemicals,No,Yes,No,No,,
SUMMIT BIOLABS INC,,,Engages in biolabs research and technology.,,Biolabs,No,Yes,No,No,,
SUN CREATE KK,,,Focuses on pharmaceutical and chemical research.,,"Pharmaceuticals, Chemicals",No,Yes,No,No,,
SUN GENOMICS INC,,,Specializes in genomics and personalized medicine.,,"Genomics, Personalized Medicine",No,Yes,No,No,,
SUN PHARM IND LTD,,,Engages in pharmaceutical research and production.,,Pharmaceuticals,No,Yes,No,No,,
SUN-S INC,,,Focuses on various industrial solutions.,,Industrial Solutions,No,Yes,No,No,,
SUNCOR ENERGY INC,,"Calgary, Canada",A major energy company focusing on oil sands and petroleum.,,Energy,No,Yes,No,No,,
SUNFOREST BEIJING BIOPHARM LTD,,"Beijing, China",Specializes in biopharmaceutical research and development.,,Biopharmaceuticals,No,Yes,No,No,,
SUNGAN CO LTD,,,Engages in various business and technology solutions.,,Business Solutions,No,Yes,No,No,,
SUNGKWANG MEDICAL FOUND,,,Provides medical research and healthcare services.,,"Healthcare, Medical Research",No,No,Yes,No,,
SUNHANMI CO LTD,,,Specializes in medical and biotechnology solutions.,,"Biotechnology, Medical",No,Yes,No,No,,
SUNNUTRAPHARMA SRL,,,Focuses on nutraceutical and pharmaceutical research.,,"Nutraceuticals, Pharmaceuticals",No,Yes,No,Yes,,
SUNNYBROOK HEALTH SCI CENT,,"Toronto, Canada",Provides comprehensive healthcare services and research.,,Healthcare,No,No,No,No,,
SUNREGEN HEALTHCARE AG,,,Specializes in regenerative medicine and healthcare solutions.,,"Regenerative Medicine, Healthcare",No,Yes,No,No,,
SUNSALE YG,,,Engages in various business and industrial solutions.,,Business Solutions,No,Yes,No,No,,
SUNSHINE BIOPHARMA INC,,,Focuses on pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
SUNTEC MEDICAL INC,,,Specializes in medical technologies and solutions.,,Medical Technologies,No,Yes,No,No,,
SUNTRAP LIFE TECHNOLOGIES LTD,,,Engages in life sciences technologies and innovations.,,Life Sciences,No,Yes,No,No,,
SUNVAX MRNA THERAPEUTICS INC,,,Focuses on mRNA therapeutics and vaccine development.,,"mRNA Therapeutics, Vaccines",No,Yes,No,No,,
SUNWISE CO LTD,,,Engages in various technological and industrial solutions.,,"Technology, Industrial Solutions",No,Yes,No,No,,
SUPERBIOTICS SRL,,,Specializes in probiotics and biotechnological solutions.,,"Probiotics, Biotechnology",No,Yes,No,No,,
SUPERBREWED FOOD INC,,,Focuses on innovative food technologies and solutions.,,Food Technologies,No,Yes,No,No,,
SUPERHARD & NEW CARBON MATERIALS INST,,,Engages in research and development of advanced materials.,,Advanced Materials,No,No,Yes,No,,
SUPERIOR BIOTECH INC,,,Engages in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SUPERIOR HEAT TREATMENT INC,,,Specializes in heat treatment and industrial solutions.,,Industrial Solutions,No,Yes,No,No,,
SUPREME DRUGS PVT LTD,,,Focuses on pharmaceutical manufacturing and distribution.,,Pharmaceuticals,No,Yes,No,Yes,,
SUQIAN FIRST HOSPITAL,,"Suqian, China",Provides comprehensive medical services and treatment.,,Healthcare,No,No,No,No,,
SUREDX LLC,,,Engages in diagnostics and healthcare technology solutions.,,"Diagnostics, Healthcare Technology",No,Yes,No,No,,
SUREXAM BIOTECHNOLOGY CO LTD,,,Specializes in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SURGERY NAT MEDICAL RES CENT,,,Focuses on surgical research and medical advancements.,,Medical Research,No,No,Yes,No,,
SURKO BIO HANGZHOU CO LTD,,"Hangzhou, China",Specializes in biotechnology and pharmaceutical research.,,"Biotechnology, Pharmaceuticals",No,Yes,No,No,,
SUSOS AG,,,Focuses on diagnostics and biomedical technologies.,,"Diagnostics, Biomedical Technologies",No,Yes,No,No,,
SUZHOU ABCARTA MEDICAL TECHNOLOGY CO LTD,,"Suzhou, China",Specializes in medical technology and diagnostics.,,"Medical Technology, Diagnostics",No,Yes,No,No,,
SUZHOU ABOGEN BIOSCI CO LTD,,"Suzhou, China",Engages in bioscience research and biotechnology.,,"Biosciences, Biotechnology",No,Yes,No,No,,
SUZHOU ACCUCISE DIAGNOSTICS INC,,"Suzhou, China",Focuses on diagnostic solutions and technologies.,,Diagnostics,No,Yes,No,No,,
SUZHOU ADVANCED MOLECULAR DIAGNOSTIC TEC,,"Suzhou, China",Specializes in advanced molecular diagnostic technologies.,,Molecular Diagnostics,No,Yes,No,No,,
SUZHOU AIKERUISI BIOTECHNOLOGY CO LTD,,"Suzhou, China",Engages in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SUZHOU AIUE PRECISION IND CO LTD,,"Suzhou, China",Focuses on precision industrial solutions and technologies.,,Precision Industry,No,Yes,No,No,,
SUZHOU AKESUO BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology and biopharmaceuticals.,,"Biotechnology, Biopharmaceuticals",No,Yes,No,No,,
SUZHOU ANSAI DIAGNOSTIC TECHNOLOGY CO,,"Suzhou, China",Provides diagnostic technology solutions.,,Diagnostics,No,Yes,No,No,,
SUZHOU AOSENPEIKE MEDICAL TECHNOLOGY CO LTD,,"Suzhou, China",Focuses on medical technology and healthcare solutions.,,Medical Technology,No,Yes,No,No,,
SUZHOU AOTEMING PHARM TECHNOLOGY CO LTD,,"Suzhou, China",Specializes in pharmaceutical technology and solutions.,,Pharmaceuticals,No,Yes,No,No,,
SUZHOU ARK BIOPHARMA CO LTD,,"Suzhou, China",Engages in biopharmaceutical research and development.,,Biopharmaceuticals,No,Yes,No,No,,
SUZHOU ASCENTAGE PHARMA CO LTD,,"Suzhou, China",Focuses on pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
SUZHOU BAIEJI BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology research and product development.,,Biotechnology,No,Yes,No,No,,
SUZHOU BAIRAN GENE TECHNOLOGY CO LTD,,"Suzhou, China",Focuses on genetic technology and diagnostics.,,Genetic Technology,No,Yes,No,No,,
SUZHOU BAIYUAN GENETIC TECHNOLOGY CO LTD,,"Suzhou, China",Engages in genetic research and technology development.,,Genetic Technology,No,Yes,No,No,,
SUZHOU BEAVER BIOMEDICAL ENG CO LTD,,"Suzhou, China",Specializes in biomedical engineering and technology.,,Biomedical Engineering,No,Yes,No,No,,
SUZHOU BEVIS MOLDING CO LTD,,"Suzhou, China",Focuses on molding solutions for various industries.,,Molding Solutions,No,Yes,No,No,,
SUZHOU BIOMEDICAL ENG & TECHNOLOGY INST,,"Suzhou, China",Engages in biomedical engineering research and technology.,,Biomedical Engineering,No,No,Yes,No,,
SUZHOU BOAOLONG TECHNOLOGY CO LTD,,"Suzhou, China",Specializes in technology solutions for various sectors.,,Technology,No,Yes,No,No,,
SUZHOU BOTELONG IMMUNE TECHNOLOGY CO LTD,,"Suzhou, China",Focuses on immune technology and related research.,,Immune Technology,No,Yes,No,No,,
SUZHOU CENT DISEASE CONTROL & PREVENTION,,"Suzhou, China",Engages in disease control and prevention activities.,,Public Health,No,No,No,No,,
SUZHOU CHUANGLAN BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology and related technologies.,,Biotechnology,No,Yes,No,No,,
SUZHOU CUREMED BIOMEDICAL TECHNOLOGY CO,,"Suzhou, China",Focuses on biomedical technology solutions and products.,,Biomedical Technology,No,Yes,No,No,,
SUZHOU CUSTOMS DISTRICT PR CHINA,,"Suzhou, China",Operates as part of the customs district authority in Suzhou.,,Customs and Trade Regulation,Yes,No,No,No,,
SUZHOU DAOYICHENG NANOMATERIAL TECHNOLOG,,"Suzhou, China",Engages in the development of nanomaterials and technologies.,,Nanotechnology,No,Yes,No,No,,
SUZHOU DIMA BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SUZHOU DONGKANG BIOTECHNOLOGY CO LTD,,"Suzhou, China",Focuses on biotechnology and life sciences.,,"Biotechnology, Life Sciences",No,Yes,No,No,,
SUZHOU DONGQUAN BIOTECHNOLOGY CO LTD,,"Suzhou, China",Engages in biotechnology and related research.,,Biotechnology,No,Yes,No,No,,
SUZHOU FANGKE BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology and life sciences research.,,Biotechnology,No,Yes,No,No,,
SUZHOU FANGZHOU BIOTECHNOLOGY CO LTD,,"Suzhou, China",Focuses on biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SUZHOU FUDE ZHAOFENG BIOCHEMICAL TECHNOLOGY CO LTD,,"Suzhou, China",Engages in biochemical technology and research.,,Biochemical Technology,No,Yes,No,No,,
SUZHOU FUNC BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology and related technologies.,,Biotechnology,No,Yes,No,No,,
SUZHOU GENEPHARMA CO LTD,,"Suzhou, China",Engages in pharmaceutical and genetic research and development.,,"Pharmaceuticals, Genetics",No,Yes,No,No,,
SUZHOU GENGZE NEW MATERIAL TECHNOLOGY CO,,"Suzhou, China",Specializes in new materials technology and development.,,New Materials Technology,No,Yes,No,No,,
SUZHOU GUANMING BIOMEDICAL TECHNOLOGY CO,,"Suzhou, China",Focuses on biomedical technology and research.,,Biomedical Technology,No,Yes,No,No,,
SUZHOU HAIMIAO BIOTECHNOLOGY CO LTD,,"Suzhou, China",Engages in biotechnology research and product development.,,Biotechnology,No,Yes,No,No,,
SUZHOU HERUI BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology and related technologies.,,Biotechnology,No,Yes,No,No,,
SUZHOU HEYAN BIOTECHNOLOGY CO LTD,,"Suzhou, China",Focuses on biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SUZHOU HUIRUIKANG MEDICAL TECHNOLOGY CO,,"Suzhou, China",Engages in medical technology development and solutions.,,Medical Technology,No,Yes,No,No,,
SUZHOU HUIZHEN BIOTECHNOLOGY CO LTD,,"Suzhou, China",Specializes in biotechnology and life sciences.,,"Biotechnology, Life Sciences",No,Yes,No,No,,
SUZHOU HYBIOME BIOMEDICAL ENG CO LTD,,"Suzhou, China",Focuses on biomedical engineering and technology solutions.,,Biomedical Engineering,No,Yes,No,No,,
SUZHOU IND PARK AZURE WIND ENVIRONMENTAL,,"Suzhou, China",Engages in environmental technology and solutions.,,Environmental Technology,No,Yes,No,No,,
SUZHOU IND PARK MONASH SCI & TECHNOLOGY,,"Suzhou, China",Collaborative park focusing on scientific and technological innovation.,,Science and Technology,No,No,Yes,No,,
SUZHOU INST BIOMEDICAL ENG & TECHNOLOGY,,"Suzhou, China",Engages in biomedical engineering and technological research.,,Biomedical Engineering,No,No,Yes,No,,
SUZHOU INTRAGRAND PHARMA CO LTD,,"Suzhou, China",Specializes in pharmaceutical research and development.,,Pharmaceuticals,No,Yes,No,No,,
SUZHOU ITDM MEDICAL TECHNOLOGY CO LTD,,"Suzhou, China",Focuses on medical technology development and solutions.,,Medical Technology,No,Yes,No,No,,
SUZHOU JUNMENG BIOSCIENCE CO LTD,,"Suzhou, China",Specializes in biosciences and related technologies.,,Biosciences,No,Yes,No,No,,
SUZHOU KAIXIANG BIOTECHNOLOGY CO LTD,,"Suzhou, China",Engages in biotechnology research and development.,,Biotechnology,No,Yes,No,No,,
SUZHOU KANGCHUN PHARM TECHNOLOGY CO LTD,,"Suzhou, China",Specializes in pharmaceutical technology and solutions.,,Pharmaceuticals,No,Yes,No,No,,
